X_T_dep,Y_T_dep,Z_T_dep,Eigenvectors_(dx)_T_dep,Eigenvectors_(dy)_T_dep,Eigenvectors_(dz)_T_dep,X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.699017332084722,3.1509682735731728,0.21331934769714445,0.00125777361573844,-0.02925575475609043,-0.00912217434285187,4.69864,3.159745,0.216056,0.004647,-0.108089,-0.033703
2.875757332084721,7.931159273573173,13.905603347697145,0.00125777361573844,-0.02925575475609043,-0.00912217434285187,2.87538,7.939936,13.90834,0.004647,-0.108089,-0.033703
3.7193334281195525,3.1622646041779463,1.221256147747067,0.000548093731842122,-0.030481319406846542,-0.009952840843110376,3.719169,3.171409,1.224242,0.002025,-0.112617,-0.036772
3.8550144281195524,7.9191276041779455,12.897168147747067,0.000548093731842122,-0.030481319406846542,-0.009952840843110376,3.85485,7.928272,12.900154,0.002025,-0.112617,-0.036772
3.904996889388297,2.485270006926692,2.4494507006942765,-0.0018037020390103214,-0.03501331024435987,-0.012094331019078213,3.905538,2.495774,2.453079,-0.006664,-0.129361,-0.044684
3.667939889388297,8.59340300692669,11.667688700694276,-0.0018037020390103214,-0.03501331024435987,-0.012094331019078213,3.668481,8.603907,11.671317,-0.006664,-0.129361,-0.044684
2.934257436231029,2.5130844059110515,3.451265747828361,-0.003215212563235836,-0.037631980296494456,-0.01347417390546396,2.935222,2.524374,3.455308,-0.011879,-0.139036,-0.049782
4.6378324362310295,8.564017405911052,10.665045747828362,-0.003215212563235836,-0.037631980296494456,-0.01347417390546396,4.638797,8.575307,10.669088,-0.011879,-0.139036,-0.049782
3.1213413189043187,1.847282249237917,4.706077855174901,-0.00714227031893823,-0.04722916920694283,-0.018063816083659943,3.123484,1.861451,4.711497,-0.026388,-0.174494,-0.066739
4.448392318904319,9.224061249237916,9.407479855174902,-0.00714227031893823,-0.04722916920694283,-0.018063816083659943,4.450535,9.23823,9.412899,-0.026388,-0.174494,-0.066739
2.1552334955555175,1.9035059311009863,5.679882437821458,-0.007915014814942802,-0.0506868963300456,-0.018835207261808113,2.157608,1.918712,5.685533,-0.029243,-0.187269,-0.069589
5.414036495555517,9.165762931100986,8.433212437821457,-0.007915014814942802,-0.0506868963300456,-0.018835207261808113,5.416411,9.180969,8.438863,-0.029243,-0.187269,-0.069589
0.9407999251642937,2.6265115927085527,5.461557126464463,-0.00395358278568784,-0.04241135763815776,-0.0136595784517908,0.941986,2.639235,5.465655,-0.014607,-0.156694,-0.050467
6.630846925164294,8.447721592708552,8.654642126464463,-0.00395358278568784,-0.04241135763815776,-0.0136595784517908,6.632033,8.460445,8.65874,-0.014607,-0.156694,-0.050467
0.7158846006918242,3.272596006649253,4.27290986340696,-0.0006679976939191887,-0.03364997783582221,-0.009737121976800168,0.716085,3.282691,4.275831,-0.002468,-0.124324,-0.035975
6.857733600691825,7.806895006649253,9.84564286340696,-0.0006679976939191887,-0.03364997783582221,-0.009737121976800168,6.857934,7.81699,9.848564,-0.002468,-0.124324,-0.035975
1.6950642010969343,3.243233272083949,3.2280709888358716,-0.0009026630102190008,-0.032669093053503274,-0.010503370547094017,1.695335,3.253034,3.231222,-0.003335,-0.1207,-0.038806
5.878413201096934,7.8368452720839485,10.890021988835873,-0.0009026630102190008,-0.032669093053503274,-0.010503370547094017,5.878684,7.846646,10.893173,-0.003335,-0.1207,-0.038806
1.496358345764349,3.9072646516358462,2.017507352358775,0.0013511525478300606,-0.02857449454717852,-0.008615492137415597,1.495953,3.915837,2.020092,0.004992,-0.105572,-0.031831
6.078472345764349,7.175271651635846,12.101718352358775,0.0013511525478300606,-0.02857449454717852,-0.008615492137415597,6.078067,7.183844,12.104303,0.004992,-0.105572,-0.031831
5.098565686857792,7.188310477592902,13.121728827325699,0.0012656228593055615,-0.028911741356993474,-0.009013908914339846,5.098186,7.196984,13.124433,0.004676,-0.106818,-0.033303
2.476212686857792,3.894023477592902,0.997257827325698,0.0012656228593055615,-0.028911741356993474,-0.009013908914339846,2.475833,3.902697,0.999962,0.004676,-0.106818,-0.033303
6.373889040826373,10.629216712099566,13.552083583044576,0.008153469421240536,0.02258904033189127,0.009955276815251896,6.371443,10.62244,13.549097,0.030124,0.083458,0.036781
1.2050220408263723,0.48401671209956737,0.5782855830445756,0.008153469421240536,0.02258904033189127,0.009955276815251896,1.202576,0.47724,0.575299,0.030124,0.083458,0.036781
5.969457728248316,7.1706053422040235,0.817823686654557,0.007622427494389057,0.02372447401341112,0.01006895551518952,5.967171,7.163488,0.814803,0.028162,0.087653,0.037201
1.6091347282483168,3.943310342204023,13.312612686654557,0.007622427494389057,0.02372447401341112,0.01006895551518952,1.606848,3.936193,13.309592,0.028162,0.087653,0.037201
4.98510005593957,6.602928165284661,1.6604068150062636,0.0060801864652352735,0.026790550948871644,0.010549383354211628,4.983276,6.594891,1.657242,0.022464,0.098981,0.038976
2.5925670559395706,4.512826165284661,12.470317815006263,0.0060801864652352735,0.026790550948871644,0.010549383354211628,2.590743,4.504789,12.467153,0.022464,0.098981,0.038976
5.174646467428874,6.502489559422706,3.0392868668205297,0.0024982247629149563,0.03432853140902132,0.011536222735098727,5.173897,6.492191,3.035826,0.00923,0.126831,0.042622
2.4008714674288747,4.617788559422706,11.09202986682053,0.0024982247629149563,0.03432853140902132,0.011536222735098727,2.400122,4.60749,11.088569,0.00923,0.126831,0.042622
4.187057450225198,5.918406194244446,3.896594918930785,-0.0007651659160087303,0.04155064748148717,0.013019729769284737,4.187287,5.905941,3.892689,-0.002827,0.153514,0.048103
