# Atom_Symbol      Cart_X             Cart_Y             Cart_Z
C        4.703286608503     3.051655854654     0.182352501224
C        2.880026522112     7.831846701230    13.874637246092
C        3.721194266469     3.058791537299     1.187470087900
C        3.856874936291     7.815655042814    12.863381618908
C        3.898874168486     2.366412527041     2.408394664664
C        3.661816998272     8.474546043510    11.626633053092
C        2.923342719124     2.385337963138     3.405526174336
C        4.626918452061     8.436270645667    10.619305562792
C        3.097095690935     1.686956706077     4.644758092160
C        4.424147470401     9.063735886288     9.346159689372
C        2.128364922867     1.731442847761     5.615943502764
C        5.387168234352     8.993699692741     8.369274235904
C        0.927379416002     2.482541484864     5.415188320780
C        6.617425726653     8.303751122802     8.608273490792
C        0.713617399462     3.158366772508     4.239856318508
C        6.855465750781     7.692665787834     9.812589326840
C        1.691999856307     3.132334422428     3.192416238428
C        5.875349337231     7.725946137658    10.854367499936
C        1.500944606685     3.810264948199     1.988261279296
C        6.083058569492     7.078271569194    12.072472422728
C        5.102861818127     7.090165968270    13.091130224220
C        2.480509310837     3.795878599753     0.966659529112
C        6.401566687715    10.705898468602    13.585878153736
C        1.232700481138     0.560698132296     0.612079602804
C        5.995333358303     7.251140764780     0.852004288380
C        1.635009855676     4.023845769465    13.346793304984
C        5.005739997465     6.693872282679     1.696218405184
C        2.613207163710     4.603770311919    12.506129356120
C        5.183127373834     6.619021878485     3.078448291000
C        2.409351809573     4.734320630849    11.131191333048
C        4.184460331232     6.059454536320     3.940792205156
C        3.383904862989     5.347254096980    10.279809506976
C        4.379437564647     6.005679150827     5.299018944368
C        3.154817639285     5.484221419665     8.932218864696
C        5.586284045049     6.502759741653     5.882892120372
C        1.940281159521     5.005722818112     8.348761511028
C        6.575831041497     7.032805202768     5.091658910456
C        0.976650140405     4.415113385004     9.129012858700
C        6.416522544776     7.115822931501     3.669838613928
C        1.167996646375     4.256769648242    10.540471071656
C        1.137540136959     7.660564598655     2.847630877300
C        6.468547036914     3.665809978119    11.357508854152
C        6.659006151774     3.537413950253    12.753718082380
C        0.967701004229     7.745552641566     1.445553525848
H        5.633375814068     2.607569043369     0.382960648204
H        1.940643358730     8.492111550182    13.741435114476
H        4.840773462613     1.945228121754     2.622034548060
H        2.733245710186     9.154452471796    11.502361214620
H        4.055198455034     1.305233943486     4.876300087580
H        3.518820717765     9.794446650064     9.248095675100
H        3.038702442803     9.149619723648     6.642740772244
H        4.535316724119     1.950060836321     7.481654849192
H        6.454004110883     2.681877608040     6.259782807676
H        1.120015061915     8.417802985510     7.864612955004
H        6.050912810805     3.837100601533     4.107258287480
H        1.523106361993     7.262579992018    10.017137475200
H        0.561596482625     4.469044269926     1.854532307560
H        7.012422690174     6.630636323624    12.269863455120
H        5.439270605332    10.251237394395    13.102604604292
H        2.134748567466     0.848443199155     1.021791158388
H        4.050191676633     6.224640849252     1.211633405200
H        3.523827490289     4.875039710717    12.912762216236
H        3.259339781408     5.531306360715     3.443296656108
H        4.314679385514     5.568374199254    10.681098965328
H        3.638856852789     5.343537717523     5.881183209216
H        3.935162320010     5.756142876027     8.243212553464
H        5.764398742954     6.218294852334     6.911755789572
H        1.809620422641     4.881385663801     7.212639973108
H        1.257965929690     7.224272166436     5.481743906020
H        6.316053243108     3.875408427114     8.642651856660
H        2.051955192988     7.920627662996     3.254803430740
H        5.522063979810     3.179052930554    10.869592331940
