X_T_dep,Y_T_dep,Z_T_dep,Eigenvectors_(dx)_T_dep,Eigenvectors_(dy)_T_dep,Eigenvectors_(dz)_T_dep,X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.699897773615739,3.1304892452439095,0.20693382565714813,0.00125777361573844,-0.02925575475609043,-0.00912217434285187,4.69864,3.159745,0.216056,0.004647,-0.108089,-0.033703
2.8766377736157382,7.91068024524391,13.899217825657148,0.00125777361573844,-0.02925575475609043,-0.00912217434285187,2.87538,7.939936,13.90834,0.004647,-0.108089,-0.033703
3.719717093731842,3.1409276805931534,1.2142891591568896,0.000548093731842122,-0.030481319406846542,-0.009952840843110376,3.719169,3.171409,1.224242,0.002025,-0.112617,-0.036772
3.855398093731842,7.897790680593153,12.89020115915689,0.000548093731842122,-0.030481319406846542,-0.009952840843110376,3.85485,7.928272,12.900154,0.002025,-0.112617,-0.036772
3.9037342979609897,2.46076068975564,2.4409846689809216,-0.0018037020390103214,-0.03501331024435987,-0.012094331019078213,3.905538,2.495774,2.453079,-0.006664,-0.129361,-0.044684
3.6666772979609896,8.56889368975564,11.659222668980922,-0.0018037020390103214,-0.03501331024435987,-0.012094331019078213,3.668481,8.603907,11.671317,-0.006664,-0.129361,-0.044684
2.932006787436764,2.4867420197035055,3.4418338260945363,-0.003215212563235836,-0.037631980296494456,-0.01347417390546396,2.935222,2.524374,3.455308,-0.011879,-0.139036,-0.049782
4.635581787436765,8.537675019703507,10.655613826094536,-0.003215212563235836,-0.037631980296494456,-0.01347417390546396,4.638797,8.575307,10.669088,-0.011879,-0.139036,-0.049782
3.1163417296810616,1.814221830793057,4.69343318391634,-0.00714227031893823,-0.04722916920694283,-0.018063816083659943,3.123484,1.861451,4.711497,-0.026388,-0.174494,-0.066739
4.4433927296810625,9.191000830793056,9.394835183916339,-0.00714227031893823,-0.04722916920694283,-0.018063816083659943,4.450535,9.23823,9.412899,-0.026388,-0.174494,-0.066739
2.1496929851850575,1.8680251036699544,5.6666977927381925,-0.007915014814942802,-0.0506868963300456,-0.018835207261808113,2.157608,1.918712,5.685533,-0.029243,-0.187269,-0.069589
5.408495985185057,9.130282103669954,8.42002779273819,-0.007915014814942802,-0.0506868963300456,-0.018835207261808113,5.416411,9.180969,8.438863,-0.029243,-0.187269,-0.069589
0.9380324172143122,2.5968236423618425,5.451995421548209,-0.00395358278568784,-0.04241135763815776,-0.0136595784517908,0.941986,2.639235,5.465655,-0.014607,-0.156694,-0.050467
6.628079417214312,8.418033642361841,8.64508042154821,-0.00395358278568784,-0.04241135763815776,-0.0136595784517908,6.632033,8.460445,8.65874,-0.014607,-0.156694,-0.050467
0.7154170023060807,3.2490410221641777,4.2660938780232,-0.0006679976939191887,-0.03364997783582221,-0.009737121976800168,0.716085,3.282691,4.275831,-0.002468,-0.124324,-0.035975
6.857266002306081,7.783340022164177,9.8388268780232,-0.0006679976939191887,-0.03364997783582221,-0.009737121976800168,6.857934,7.81699,9.848564,-0.002468,-0.124324,-0.035975
1.6944323369897811,3.2203649069464966,3.220718629452906,-0.0009026630102190008,-0.032669093053503274,-0.010503370547094017,1.695335,3.253034,3.231222,-0.003335,-0.1207,-0.038806
5.877781336989781,7.813976906946497,10.882669629452908,-0.0009026630102190008,-0.032669093053503274,-0.010503370547094017,5.878684,7.846646,10.893173,-0.003335,-0.1207,-0.038806
1.4973041525478301,3.887262505452821,2.0114765078625845,0.0013511525478300606,-0.02857449454717852,-0.008615492137415597,1.495953,3.915837,2.020092,0.004992,-0.105572,-0.031831
6.07941815254783,7.1552695054528215,12.095687507862584,0.0013511525478300606,-0.02857449454717852,-0.008615492137415597,6.078067,7.183844,12.104303,0.004992,-0.105572,-0.031831
5.099451622859306,7.168072258643006,13.11541909108566,0.0012656228593055615,-0.028911741356993474,-0.009013908914339846,5.098186,7.196984,13.124433,0.004676,-0.106818,-0.033303
2.4770986228593057,3.8737852586430064,0.9909480910856602,0.0012656228593055615,-0.028911741356993474,-0.009013908914339846,2.475833,3.902697,0.999962,0.004676,-0.106818,-0.033303
6.379596469421241,10.64502904033189,13.559052276815251,0.008153469421240536,0.02258904033189127,0.009955276815251896,6.371443,10.62244,13.549097,0.030124,0.083458,0.036781
1.2107294694212407,0.49982904033189124,0.5852542768152519,0.008153469421240536,0.02258904033189127,0.009955276815251896,1.202576,0.47724,0.575299,0.030124,0.083458,0.036781
5.974793427494388,7.187212474013411,0.8248719555151895,0.007622427494389057,0.02372447401341112,0.01006895551518952,5.967171,7.163488,0.814803,0.028162,0.087653,0.037201
1.614470427494389,3.959917474013411,13.31966095551519,0.007622427494389057,0.02372447401341112,0.01006895551518952,1.606848,3.936193,13.309592,0.028162,0.087653,0.037201
4.989356186465235,6.621681550948871,1.6677913833542117,0.0060801864652352735,0.026790550948871644,0.010549383354211628,4.983276,6.594891,1.657242,0.022464,0.098981,0.038976
2.596823186465235,4.531579550948871,12.477702383354211,0.0060801864652352735,0.026790550948871644,0.010549383354211628,2.590743,4.504789,12.467153,0.022464,0.098981,0.038976
5.176395224762915,6.526519531409021,3.047362222735099,0.0024982247629149563,0.03432853140902132,0.011536222735098727,5.173897,6.492191,3.035826,0.00923,0.126831,0.042622
2.402620224762915,4.6418185314090215,11.100105222735099,0.0024982247629149563,0.03432853140902132,0.011536222735098727,2.400122,4.60749,11.088569,0.00923,0.126831,0.042622
4.186521834083992,5.947491647481487,3.9057087297692847,-0.0007651659160087303,0.04155064748148717,0.013019729769284737,4.187287,5.905941,3.892689,-0.002827,0.153514,0.048103
