x_proj,y_proj,z_proj
1.00108421065747,1.1280627182574263,6.027276781366496
3.001132457448632,0.9293114941275606,6.030765072551192
0.9011315222002652,3.129287287013175,5.969922066160441
3.1010876595470074,3.0281519861637323,5.9703855127215135
0.998866285730783,1.0706559754764793,4.028102064966675
2.9989145325219444,0.8719047513466136,4.031590356151372
0.8989135972735782,3.0718805442322283,3.9707473497606207
3.09886973462032,2.970745243382785,3.9712107963216936
5.049924516728982,1.8977214645763791,3.82223209700275
5.031548132129186,1.8040674759909576,4.045789324177892
5.069848480571185,3.607719278062396,1.640524188892747
4.92755518148228,3.905257412017321,2.138482340493076
6.9854863612731695,2.2853386492528527,4.143718121719519
6.967109976673372,2.1916846606674314,4.36727534889466
7.005410325115372,3.99533646273887,1.962010213609516
6.863117026026467,4.292874596693794,2.4599683652098445
