X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.037449,-0.034558,0.033319
2.87538,7.939936,13.90834,0.037449,-0.034558,0.033319
3.719169,3.171409,1.224242,-0.08358,-0.046087,0.185466
3.85485,7.928272,12.900154,-0.08358,-0.046087,0.185466
3.905538,2.495774,2.453079,-0.012909,0.02693,-0.042544
3.668481,8.603907,11.671317,-0.012909,0.02693,-0.042544
2.935222,2.524374,3.455308,0.041005,0.059662,-0.17589
4.638797,8.575307,10.669088,0.041005,0.059662,-0.17589
3.123484,1.861451,4.711497,0.033659,-0.064383,0.104339
4.450535,9.23823,9.412899,0.033659,-0.064383,0.104339
2.157608,1.918712,5.685533,-0.122455,0.036142,0.058153
5.416411,9.180969,8.438863,-0.122455,0.036142,0.058153
0.941986,2.639235,5.465655,-0.018247,0.063943,-0.121486
6.632033,8.460445,8.65874,-0.018247,0.063943,-0.121486
0.716085,3.282691,4.275831,0.05444,-0.03603,0.020118
6.857934,7.81699,9.848564,0.05444,-0.03603,0.020118
1.695335,3.253034,3.231222,-0.047118,-0.051871,0.165791
5.878684,7.846646,10.893173,-0.047118,-0.051871,0.165791
1.495953,3.915837,2.020092,-0.034946,0.024121,-0.016034
6.078067,7.183844,12.104303,-0.034946,0.024121,-0.016034
5.098186,7.196984,13.124433,0.069217,0.056939,-0.192762
2.475833,3.902697,0.999962,0.069217,0.056939,-0.192762
6.371443,10.62244,13.549097,-0.023037,-0.003152,-0.055531
1.202576,0.47724,0.575299,-0.023037,-0.003152,-0.055531
5.967171,7.163488,0.814803,-0.061616,-0.048926,0.152796
1.606848,3.936193,13.309592,-0.061616,-0.048926,0.152796
4.983276,6.594891,1.657242,0.024317,0.005115,0.041582
2.590743,4.504789,12.467153,0.024317,0.005115,0.041582
5.173897,6.492191,3.035826,0.029965,0.033561,-0.138534
2.400122,4.60749,11.088569,0.029965,0.033561,-0.138534
4.187287,5.905941,3.892689,-0.03079,-0.005195,-0.062549
3.386732,5.19374,10.231706,-0.03079,-0.005195,-0.062549
4.39932,5.810569,5.245598,-0.000728,-0.017635,0.120801
3.1747,5.289111,8.878798,-0.000728,-0.017635,0.120801
5.610011,6.298359,5.829263,0.108971,0.052018,-0.004942
1.964008,4.801322,8.295133,0.108971,0.052018,-0.004942
6.5866,6.858686,5.043521,-0.016497,0.011718,-0.136877
0.987419,4.240994,9.080875,-0.016497,0.011718,-0.136877
6.411273,6.979367,3.626882,-0.02209,-0.031617,0.151747
1.162747,4.120314,10.497514,-0.02209,-0.031617,0.151747
1.121506,7.547218,2.807259,-0.002374,-0.009085,0.057386
6.452513,3.552463,11.317137,-0.002374,-0.009085,0.057386
6.632662,3.445771,12.71628,0.072489,0.052506,-0.140681
0.941357,7.65391,1.408116,0.072489,0.052506,-0.140681
5.633376,2.607569,0.382961,0.026167,-0.003306,-0.02254
1.940643,8.492112,13.741435,0.026167,-0.003306,-0.02254
4.840773,1.945228,2.622035,-0.02206,-0.002623,0.030395
2.733246,9.154452,11.502361,-0.02206,-0.002623,0.030395
4.055198,1.305234,4.8763,0.054462,0.011354,-0.0898
3.518821,9.794447,9.248096,0.054462,0.011354,-0.0898
3.038702,9.14962,6.642741,0.155195,-0.054775,-0.048195
4.535317,1.950061,7.481655,0.155195,-0.054775,-0.048195
6.454004,2.681878,6.259783,0.079408,-0.062266,0.043594
1.120015,8.417803,7.864613,0.079408,-0.062266,0.043594
6.050913,3.837101,4.107258,0.014653,-0.017683,0.019319
1.523106,7.26258,10.017137,0.014653,-0.017683,0.019319
0.561596,4.469044,1.854532,-0.015749,0.007987,0.002859
7.012423,6.630636,12.269863,-0.015749,0.007987,0.002859
5.439271,10.251237,13.102605,-0.027382,-0.01671,0.029635
2.134749,0.848443,1.021791,-0.027382,-0.01671,0.029635
4.050192,6.224641,1.211633,0.019259,0.010643,-0.011252
3.523827,4.87504,12.912762,0.019259,0.010643,-0.011252
3.25934,5.531306,3.443297,-0.020917,-0.010914,0.00322
4.314679,5.568374,10.681099,-0.020917,-0.010914,0.00322
3.638857,5.343538,5.881183,-0.06072,-0.022862,-0.042129
3.935162,5.756143,8.243213,-0.06072,-0.022862,-0.042129
5.764399,6.218295,6.911756,-0.151605,-0.073453,0.017224
1.80962,4.881386,7.21264,-0.151605,-0.073453,0.017224
1.257966,7.224272,5.481744,-0.054593,-0.037385,0.090014
6.316053,3.875408,8.642652,-0.054593,-0.037385,0.090014
2.051955,7.920628,3.254803,0.020946,0.014977,-0.034889
5.522064,3.179053,10.869592,0.020946,0.014977,-0.034889
