X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.021748,-0.01833,0.060247
2.87538,7.939936,13.90834,-0.021748,-0.01833,0.060247
3.719169,3.171409,1.224242,-0.010055,0.033233,-0.059354
3.85485,7.928272,12.900154,-0.010055,0.033233,-0.059354
3.905538,2.495774,2.453079,0.014392,-0.029441,0.04831
3.668481,8.603907,11.671317,0.014392,-0.029441,0.04831
2.935222,2.524374,3.455308,-0.07324,0.045158,-0.018025
4.638797,8.575307,10.669088,-0.07324,0.045158,-0.018025
3.123484,1.861451,4.711497,0.077462,-0.015086,-0.053216
4.450535,9.23823,9.412899,0.077462,-0.015086,-0.053216
2.157608,1.918712,5.685533,-0.118995,0.041667,0.042906
5.416411,9.180969,8.438863,-0.118995,0.041667,0.042906
0.941986,2.639235,5.465655,0.07673,-0.072381,0.075856
6.632033,8.460445,8.65874,0.07673,-0.072381,0.075856
0.716085,3.282691,4.275831,-0.033624,0.048723,-0.071394
6.857934,7.81699,9.848564,-0.033624,0.048723,-0.071394
1.695335,3.253034,3.231222,0.076048,-0.041798,0.007045
5.878684,7.846646,10.893173,0.076048,-0.041798,0.007045
1.495953,3.915837,2.020092,-0.04409,0.003814,0.037754
6.078067,7.183844,12.104303,-0.04409,0.003814,0.037754
5.098186,7.196984,13.124433,0.048003,-0.001358,-0.047708
2.475833,3.902697,0.999962,0.048003,-0.001358,-0.047708
6.371443,10.62244,13.549097,-0.047101,-0.039581,0.13216
1.202576,0.47724,0.575299,-0.047101,-0.039581,0.13216
5.967171,7.163488,0.814803,0.101124,0.058157,-0.086098
1.606848,3.936193,13.309592,0.101124,0.058157,-0.086098
4.983276,6.594891,1.657242,-0.09241,-0.050158,0.054975
2.590743,4.504789,12.467153,-0.09241,-0.050158,0.054975
5.173897,6.492191,3.035826,0.156244,0.062773,0.068917
2.400122,4.60749,11.088569,0.156244,0.062773,0.068917
4.187287,5.905941,3.892689,-0.065349,-0.003842,-0.181115
3.386732,5.19374,10.231706,-0.065349,-0.003842,-0.181115
4.39932,5.810569,5.245598,0.151669,0.04086,0.212009
3.1747,5.289111,8.878798,0.151669,0.04086,0.212009
5.610011,6.298359,5.829263,-0.237743,-0.114196,0.022546
1.964008,4.801322,8.295133,-0.237743,-0.114196,0.022546
6.5866,6.858686,5.043521,0.15724,0.082203,-0.07001
0.987419,4.240994,9.080875,0.15724,0.082203,-0.07001
6.411273,6.979367,3.626882,-0.155479,-0.060431,-0.07982
1.162747,4.120314,10.497514,-0.155479,-0.060431,-0.07982
1.121506,7.547218,2.807259,0.033691,0.000102,0.111186
6.452513,3.552463,11.317137,0.033691,0.000102,0.111186
6.632662,3.445771,12.71628,-0.019899,0.009838,-0.140097
0.941357,7.65391,1.408116,-0.019899,0.009838,-0.140097
5.633376,2.607569,0.382961,0.012785,0.010917,-0.035472
1.940643,8.492112,13.741435,0.012785,0.010917,-0.035472
4.840773,1.945228,2.622035,0.018337,0.002133,-0.026802
2.733246,9.154452,11.502361,0.018337,0.002133,-0.026802
4.055198,1.305234,4.8763,0.011118,-0.016011,0.023784
3.518821,9.794447,9.248096,0.011118,-0.016011,0.023784
3.038702,9.14962,6.642741,0.031303,-0.012139,-0.009694
4.535317,1.950061,7.481655,0.031303,-0.012139,-0.009694
6.454004,2.681878,6.259783,-0.019611,0.015221,-0.017785
1.120015,8.417803,7.864613,-0.019611,0.015221,-0.017785
6.050913,3.837101,4.107258,-0.024371,0.00543,0.016755
1.523106,7.26258,10.017137,-0.024371,0.00543,0.016755
0.561596,4.469044,1.854532,0.00153,0.014099,-0.028582
7.012423,6.630636,12.269863,0.00153,0.014099,-0.028582
5.439271,10.251237,13.102605,0.027922,0.023764,-0.077328
2.134749,0.848443,1.021791,0.027922,0.023764,-0.077328
4.050192,6.224641,1.211633,0.001997,0.00971,-0.064852
3.523827,4.87504,12.912762,0.001997,0.00971,-0.064852
3.25934,5.531306,3.443297,-0.050809,-0.02982,0.028328
4.314679,5.568374,10.681099,-0.050809,-0.02982,0.028328
3.638857,5.343538,5.881183,-0.039534,-0.010344,-0.04965
3.935162,5.756143,8.243213,-0.039534,-0.010344,-0.04965
5.764399,6.218295,6.911756,0.065198,0.031588,-0.004626
1.80962,4.881386,7.21264,0.065198,0.031588,-0.004626
1.257966,7.224272,5.481744,0.019359,0.000428,0.061295
6.316053,3.875408,8.642652,0.019359,0.000428,0.061295
2.051955,7.920628,3.254803,0.038755,0.024626,-0.04768
5.522064,3.179053,10.869592,0.038755,0.024626,-0.04768
