X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.006757,0.045259,0.112365
2.87538,7.939936,13.90834,0.006757,0.045259,0.112365
3.719169,3.171409,1.224242,-0.058768,-0.088741,0.036936
3.85485,7.928272,12.900154,-0.058768,-0.088741,0.036936
3.905538,2.495774,2.453079,0.018064,-0.021374,0.040094
3.668481,8.603907,11.671317,0.018064,-0.021374,0.040094
2.935222,2.524374,3.455308,0.040794,0.07041,0.024365
4.638797,8.575307,10.669088,0.040794,0.07041,0.024365
3.123484,1.861451,4.711497,0.028891,-0.039161,-0.064194
4.450535,9.23823,9.412899,0.028891,-0.039161,-0.064194
2.157608,1.918712,5.685533,0.037789,0.040454,-0.077896
5.416411,9.180969,8.438863,0.037789,0.040454,-0.077896
0.941986,2.639235,5.465655,0.041967,0.053327,-0.068342
6.632033,8.460445,8.65874,0.041967,0.053327,-0.068342
0.716085,3.282691,4.275831,-0.040542,-0.023107,-0.07937
6.857934,7.81699,9.848564,-0.040542,-0.023107,-0.07937
1.695335,3.253034,3.231222,0.026606,0.053173,0.017822
5.878684,7.846646,10.893173,0.026606,0.053173,0.017822
1.495953,3.915837,2.020092,-0.039295,0.00391,0.030997
6.078067,7.183844,12.104303,-0.039295,0.00391,0.030997
5.098186,7.196984,13.124433,-0.058854,-0.08631,0.038813
2.475833,3.902697,0.999962,-0.058854,-0.08631,0.038813
6.371443,10.62244,13.549097,0.034242,0.142737,-0.18624
1.202576,0.47724,0.575299,0.034242,0.142737,-0.18624
5.967171,7.163488,0.814803,0.101025,-0.027363,-0.184247
1.606848,3.936193,13.309592,0.101025,-0.027363,-0.184247
4.983276,6.594891,1.657242,0.093051,0.055153,-0.056763
2.590743,4.504789,12.467153,0.093051,0.055153,-0.056763
5.173897,6.492191,3.035826,-0.031605,0.054634,0.02562
2.400122,4.60749,11.088569,-0.031605,0.054634,0.02562
4.187287,5.905941,3.892689,0.052084,-0.065604,0.154141
3.386732,5.19374,10.231706,0.052084,-0.065604,0.154141
4.39932,5.810569,5.245598,-0.080481,-0.03493,0.209392
3.1747,5.289111,8.878798,-0.080481,-0.03493,0.209392
5.610011,6.298359,5.829263,-0.084758,-0.0408,0.209714
1.964008,4.801322,8.295133,-0.084758,-0.0408,0.209714
6.5866,6.858686,5.043521,-0.097314,-0.111611,0.087838
0.987419,4.240994,9.080875,-0.097314,-0.111611,0.087838
6.411273,6.979367,3.626882,-0.044583,0.062658,0.025298
1.162747,4.120314,10.497514,-0.044583,0.062658,0.025298
1.121506,7.547218,2.807259,-0.03904,0.008832,-0.114656
6.452513,3.552463,11.317137,-0.03904,0.008832,-0.114656
6.632662,3.445771,12.71628,0.100309,-0.027688,-0.184243
0.941357,7.65391,1.408116,0.100309,-0.027688,-0.184243
5.633376,2.607569,0.382961,0.029585,0.069343,0.064979
1.940643,8.492112,13.741435,0.029585,0.069343,0.064979
4.840773,1.945228,2.622035,0.001581,-0.011935,0.010885
2.733246,9.154452,11.502361,0.001581,-0.011935,0.010885
4.055198,1.305234,4.8763,-0.01148,-0.049662,-0.038577
3.518821,9.794447,9.248096,-0.01148,-0.049662,-0.038577
3.038702,9.14962,6.642741,-0.00853,-0.006249,-0.028998
4.535317,1.950061,7.481655,-0.00853,-0.006249,-0.028998
6.454004,2.681878,6.259783,0.011997,-0.002935,-0.019067
1.120015,8.417803,7.864613,0.011997,-0.002935,-0.019067
6.050913,3.837101,4.107258,-0.028483,-0.040821,-0.041881
1.523106,7.26258,10.017137,-0.028483,-0.040821,-0.041881
0.561596,4.469044,1.854532,-0.0106,0.002767,0.012847
7.012423,6.630636,12.269863,-0.0106,0.002767,0.012847
5.439271,10.251237,13.102605,-0.016698,0.111382,-0.057101
2.134749,0.848443,1.021791,-0.016698,0.111382,-0.057101
4.050192,6.224641,1.211633,0.02622,0.021559,-0.022637
3.523827,4.87504,12.912762,0.02622,0.021559,-0.022637
3.25934,5.531306,3.443297,0.028878,-0.058149,0.047307
4.314679,5.568374,10.681099,0.028878,-0.058149,0.047307
3.638857,5.343538,5.881183,-0.03205,-0.028467,0.037121
3.935162,5.756143,8.243213,-0.03205,-0.028467,0.037121
5.764399,6.218295,6.911756,0.006446,-0.017353,0.056206
1.80962,4.881386,7.21264,0.006446,-0.017353,0.056206
1.257966,7.224272,5.481744,-0.010478,-0.076671,0.027112
6.316053,3.875408,8.642652,-0.010478,-0.076671,0.027112
2.051955,7.920628,3.254803,-0.007957,0.003025,-0.037891
5.522064,3.179053,10.869592,-0.007957,0.003025,-0.037891
