X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.003024,-0.001805,0.00049
2.87538,7.939936,13.90834,0.003024,-0.001805,0.00049
3.719169,3.171409,1.224242,-2.8e-05,4.2e-05,-2.6e-05
3.85485,7.928272,12.900154,-2.8e-05,4.2e-05,-2.6e-05
3.905538,2.495774,2.453079,0.007938,-0.004597,0.001341
3.668481,8.603907,11.671317,0.007938,-0.004597,0.001341
2.935222,2.524374,3.455308,-0.000268,-0.000624,0.00047
4.638797,8.575307,10.669088,-0.000268,-0.000624,0.00047
3.123484,1.861451,4.711497,0.000272,-0.000337,0.000201
4.450535,9.23823,9.412899,0.000272,-0.000337,0.000201
2.157608,1.918712,5.685533,-0.00056,0.002811,-0.005948
5.416411,9.180969,8.438863,-0.00056,0.002811,-0.005948
0.941986,2.639235,5.465655,-0.003597,0.000347,0.003402
6.632033,8.460445,8.65874,-0.003597,0.000347,0.003402
0.716085,3.282691,4.275831,0.007762,-0.00463,0.001611
6.857934,7.81699,9.848564,0.007762,-0.00463,0.001611
1.695335,3.253034,3.231222,-0.000289,-0.000424,0.000548
5.878684,7.846646,10.893173,-0.000289,-0.000424,0.000548
1.495953,3.915837,2.020092,-0.006301,0.0038,-0.001275
6.078067,7.183844,12.104303,-0.006301,0.0038,-0.001275
5.098186,7.196984,13.124433,0.000113,0.000181,-0.000511
2.475833,3.902697,0.999962,0.000113,0.000181,-0.000511
6.371443,10.62244,13.549097,-0.029866,-0.012041,-0.013583
1.202576,0.47724,0.575299,-0.029866,-0.012041,-0.013583
5.967171,7.163488,0.814803,0.001517,0.000399,0.002238
1.606848,3.936193,13.309592,0.001517,0.000399,0.002238
4.983276,6.594891,1.657242,0.023487,0.009375,0.011304
2.590743,4.504789,12.467153,0.023487,0.009375,0.011304
5.173897,6.492191,3.035826,0.002407,0.001359,-0.001228
2.400122,4.60749,11.088569,0.002407,0.001359,-0.001228
4.187287,5.905941,3.892689,-0.052166,-0.020671,-0.026131
3.386732,5.19374,10.231706,-0.052166,-0.020671,-0.026131
4.39932,5.810569,5.245598,0.01874,0.011159,-0.013499
3.1747,5.289111,8.878798,0.01874,0.011159,-0.013499
5.610011,6.298359,5.829263,0.004624,-0.00248,0.032353
1.964008,4.801322,8.295133,0.004624,-0.00248,0.032353
6.5866,6.858686,5.043521,-0.018499,-0.007105,-0.009513
0.987419,4.240994,9.080875,-0.018499,-0.007105,-0.009513
6.411273,6.979367,3.626882,0.003488,0.002241,-0.004811
1.162747,4.120314,10.497514,0.003488,0.002241,-0.004811
1.121506,7.547218,2.807259,-0.152437,-0.061174,-0.072135
6.452513,3.552463,11.317137,-0.152437,-0.061174,-0.072135
6.632662,3.445771,12.71628,0.00021,-0.000563,0.004478
0.941357,7.65391,1.408116,0.00021,-0.000563,0.004478
5.633376,2.607569,0.382961,-0.01011,0.005841,-0.001669
1.940643,8.492112,13.741435,-0.01011,0.005841,-0.001669
4.840773,1.945228,2.622035,-0.027099,0.015873,-0.004928
2.733246,9.154452,11.502361,-0.027099,0.015873,-0.004928
4.055198,1.305234,4.8763,-0.002769,0.001658,-0.000606
3.518821,9.794447,9.248096,-0.002769,0.001658,-0.000606
3.038702,9.14962,6.642741,0.003163,-0.01042,0.019703
4.535317,1.950061,7.481655,0.003163,-0.01042,0.019703
6.454004,2.681878,6.259783,0.01243,-0.00053,-0.013095
1.120015,8.417803,7.864613,0.01243,-0.00053,-0.013095
6.050913,3.837101,4.107258,-0.026676,0.015958,-0.004863
1.523106,7.26258,10.017137,-0.026676,0.015958,-0.004863
0.561596,4.469044,1.854532,0.020887,-0.012354,0.003621
7.012423,6.630636,12.269863,0.020887,-0.012354,0.003621
5.439271,10.251237,13.102605,0.099338,0.039977,0.044979
2.134749,0.848443,1.021791,0.099338,0.039977,0.044979
4.050192,6.224641,1.211633,-0.079585,-0.031869,-0.037872
3.523827,4.87504,12.912762,-0.079585,-0.031869,-0.037872
3.25934,5.531306,3.443297,0.175953,0.071219,0.08514
4.314679,5.568374,10.681099,0.175953,0.071219,0.08514
3.638857,5.343538,5.881183,-0.065465,-0.03992,0.054953
3.935162,5.756143,8.243213,-0.065465,-0.03992,0.054953
5.764399,6.218295,6.911756,-0.015604,0.008195,-0.110711
1.80962,4.881386,7.21264,-0.015604,0.008195,-0.110711
1.257966,7.224272,5.481744,0.064938,0.025086,0.032897
6.316053,3.875408,8.642652,0.064938,0.025086,0.032897
2.051955,7.920628,3.254803,0.510588,0.204974,0.24525
5.522064,3.179053,10.869592,0.510588,0.204974,0.24525
