X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.000424,-0.008163,0.01772
2.87538,7.939936,13.90834,0.000424,0.008163,-0.01772
3.719169,3.171409,1.224242,-0.020711,-0.000689,0.021819
3.85485,7.928272,12.900154,0.020711,0.000689,-0.021819
3.905538,2.495774,2.453079,-0.0407,0.024599,-0.007916
3.668481,8.603907,11.671317,0.0407,-0.024599,0.007916
2.935222,2.524374,3.455308,0.080596,-0.026332,-0.030116
4.638797,8.575307,10.669088,-0.080596,0.026332,0.030116
3.123484,1.861451,4.711497,-0.010071,0.018604,-0.030212
4.450535,9.23823,9.412899,0.010071,-0.018604,0.030212
2.157608,1.918712,5.685533,-0.001238,-0.009523,0.023083
5.416411,9.180969,8.438863,0.001238,0.009523,-0.023083
0.941986,2.639235,5.465655,0.010069,0.003307,-0.01808
6.632033,8.460445,8.65874,-0.010069,-0.003307,0.01808
0.716085,3.282691,4.275831,-0.031313,0.007107,0.02001
6.857934,7.81699,9.848564,0.031313,-0.007107,-0.02001
1.695335,3.253034,3.231222,0.058201,-0.047183,0.039104
5.878684,7.846646,10.893173,-0.058201,0.047183,-0.039104
1.495953,3.915837,2.020092,-0.033492,0.017995,-0.003028
6.078067,7.183844,12.104303,0.033492,-0.017995,0.003028
5.098186,7.196984,13.124433,0.009671,-0.007166,0.006125
2.475833,3.902697,0.999962,-0.009671,0.007166,-0.006125
6.371443,10.62244,13.549097,0.01757,0.015322,-0.055453
1.202576,0.47724,0.575299,-0.01757,-0.015322,0.055453
5.967171,7.163488,0.814803,-0.016382,-0.000957,-0.051044
1.606848,3.936193,13.309592,0.016382,0.000957,0.051044
4.983276,6.594891,1.657242,-0.111504,-0.045657,-0.036187
2.590743,4.504789,12.467153,0.111504,0.045657,0.036187
5.173897,6.492191,3.035826,0.163823,0.051189,0.180503
2.400122,4.60749,11.088569,-0.163823,-0.051189,-0.180503
4.187287,5.905941,3.892689,-0.084378,-0.045186,0.033459
3.386732,5.19374,10.231706,0.084378,0.045186,-0.033459
4.39932,5.810569,5.245598,0.026236,0.020614,-0.054606
3.1747,5.289111,8.878798,-0.026236,-0.020614,0.054606
5.610011,6.298359,5.829263,-0.011343,-0.014444,0.062894
1.964008,4.801322,8.295133,0.011343,0.014444,-0.062894
6.5866,6.858686,5.043521,-0.037798,-0.00378,-0.093536
0.987419,4.240994,9.080875,0.037798,0.00378,0.093536
6.411273,6.979367,3.626882,0.227822,0.106037,-0.001095
1.162747,4.120314,10.497514,-0.227822,-0.106037,0.001095
1.121506,7.547218,2.807259,-0.105393,-0.040671,-0.064272
6.452513,3.552463,11.317137,0.105393,0.040671,0.064272
6.632662,3.445771,12.71628,0.044685,0.024765,-0.028142
0.941357,7.65391,1.408116,-0.044685,-0.024765,0.028142
5.633376,2.607569,0.382961,0.024532,0.018031,-0.063286
1.940643,8.492112,13.741435,-0.024532,-0.018031,0.063286
4.840773,1.945228,2.622035,-0.045504,-0.018764,0.087736
2.733246,9.154452,11.502361,0.045504,0.018764,-0.087736
4.055198,1.305234,4.8763,-0.00048,0.007059,-0.013804
3.518821,9.794447,9.248096,0.00048,-0.007059,0.013804
3.038702,9.14962,6.642741,-0.028554,0.00616,0.01607
4.535317,1.950061,7.481655,0.028554,-0.00616,-0.01607
6.454004,2.681878,6.259783,-0.01296,0.013437,-0.020745
1.120015,8.417803,7.864613,0.01296,-0.013437,0.020745
6.050913,3.837101,4.107258,-0.016231,-0.003934,0.027233
1.523106,7.26258,10.017137,0.016231,0.003934,-0.027233
0.561596,4.469044,1.854532,0.023604,0.034651,-0.10032
7.012423,6.630636,12.269863,-0.023604,-0.034651,0.10032
5.439271,10.251237,13.102605,-0.067094,-0.054858,0.184418
2.134749,0.848443,1.021791,0.067094,0.054858,-0.184418
4.050192,6.224641,1.211633,0.063006,0.066943,-0.286871
3.523827,4.87504,12.912762,-0.063006,-0.066943,0.286871
3.25934,5.531306,3.443297,-0.047313,-0.031098,0.074342
4.314679,5.568374,10.681099,0.047313,0.031098,-0.074342
3.638857,5.343538,5.881183,-0.029396,-0.005505,-0.068063
3.935162,5.756143,8.243213,0.029396,0.005505,0.068063
5.764399,6.218295,6.911756,-0.058855,-0.02874,0.023899
1.80962,4.881386,7.21264,0.058855,0.02874,-0.023899
1.257966,7.224272,5.481744,0.009991,0.013968,-0.080101
6.316053,3.875408,8.642652,-0.009991,-0.013968,0.080101
2.051955,7.920628,3.254803,-0.132441,-0.095588,0.25336
5.522064,3.179053,10.869592,0.132441,0.095588,-0.25336
