X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.054714,-0.019369,-0.021615
2.87538,7.939936,13.90834,0.054714,0.019369,0.021615
3.719169,3.171409,1.224242,0.064939,0.171582,0.074917
3.85485,7.928272,12.900154,-0.064939,-0.171582,-0.074917
3.905538,2.495774,2.453079,-0.039734,-0.020232,-0.025845
3.668481,8.603907,11.671317,0.039734,0.020232,0.025845
2.935222,2.524374,3.455308,0.065115,0.145657,0.061832
4.638797,8.575307,10.669088,-0.065115,-0.145657,-0.061832
3.123484,1.861451,4.711497,-0.020519,-0.022926,-0.019716
4.450535,9.23823,9.412899,0.020519,0.022926,0.019716
2.157608,1.918712,5.685533,0.027894,0.053015,0.023755
5.416411,9.180969,8.438863,-0.027894,-0.053015,-0.023755
0.941986,2.639235,5.465655,-0.035284,-0.062899,-0.022249
6.632033,8.460445,8.65874,0.035284,0.062899,0.022249
0.716085,3.282691,4.275831,0.021683,0.021458,0.012423
6.857934,7.81699,9.848564,-0.021683,-0.021458,-0.012423
1.695335,3.253034,3.231222,-0.063319,-0.144239,-0.061601
5.878684,7.846646,10.893173,0.063319,0.144239,0.061601
1.495953,3.915837,2.020092,0.051347,0.029356,0.018783
6.078067,7.183844,12.104303,-0.051347,-0.029356,-0.018783
5.098186,7.196984,13.124433,0.067241,0.175848,0.079496
2.475833,3.902697,0.999962,-0.067241,-0.175848,-0.079496
6.371443,10.62244,13.549097,0.051173,-0.038822,0.006756
1.202576,0.47724,0.575299,-0.051173,0.038822,-0.006756
5.967171,7.163488,0.814803,-0.083407,0.215493,0.034828
1.606848,3.936193,13.309592,0.083407,-0.215493,-0.034828
4.983276,6.594891,1.657242,0.047387,-0.042003,0.000723
2.590743,4.504789,12.467153,-0.047387,0.042003,-0.000723
5.173897,6.492191,3.035826,-0.074157,0.177768,0.028944
2.400122,4.60749,11.088569,0.074157,-0.177768,-0.028944
4.187287,5.905941,3.892689,0.026905,-0.03203,-0.003686
3.386732,5.19374,10.231706,-0.026905,0.03203,0.003686
4.39932,5.810569,5.245598,-0.036684,0.071292,0.012768
3.1747,5.289111,8.878798,0.036684,-0.071292,-0.012768
5.610011,6.298359,5.829263,0.032174,-0.068183,-0.008233
1.964008,4.801322,8.295133,-0.032174,0.068183,0.008233
6.5866,6.858686,5.043521,-0.019638,0.027715,-0.003467
0.987419,4.240994,9.080875,0.019638,-0.027715,0.003467
6.411273,6.979367,3.626882,0.072069,-0.174564,-0.028068
1.162747,4.120314,10.497514,-0.072069,0.174564,0.028068
1.121506,7.547218,2.807259,-0.041113,0.037014,-0.007302
6.452513,3.552463,11.317137,0.041113,-0.037014,0.007302
6.632662,3.445771,12.71628,-0.082478,0.212079,0.034764
0.941357,7.65391,1.408116,0.082478,-0.212079,-0.034764
5.633376,2.607569,0.382961,-0.065177,-0.102179,-0.051732
1.940643,8.492112,13.741435,0.065177,0.102179,0.051732
4.840773,1.945228,2.622035,-0.057576,-0.097707,-0.053625
2.733246,9.154452,11.502361,0.057576,0.097707,0.053625
4.055198,1.305234,4.8763,-0.027353,-0.048435,-0.026323
3.518821,9.794447,9.248096,0.027353,0.048435,0.026323
3.038702,9.14962,6.642741,0.005134,0.001878,0.000223
4.535317,1.950061,7.481655,-0.005134,-0.001878,-0.000223
6.454004,2.681878,6.259783,0.007574,0.020878,0.008331
1.120015,8.417803,7.864613,-0.007574,-0.020878,-0.008331
6.050913,3.837101,4.107258,0.035992,0.062418,0.025385
1.523106,7.26258,10.017137,-0.035992,-0.062418,-0.025385
0.561596,4.469044,1.854532,0.057593,0.090309,0.039515
7.012423,6.630636,12.269863,-0.057593,-0.090309,-0.039515
5.439271,10.251237,13.102605,0.071174,-0.131289,-0.014943
2.134749,0.848443,1.021791,-0.071174,0.131289,0.014943
4.050192,6.224641,1.211633,0.064471,-0.118399,-0.016986
3.523827,4.87504,12.912762,-0.064471,0.118399,0.016986
3.25934,5.531306,3.443297,0.036743,-0.066645,-0.012635
4.314679,5.568374,10.681099,-0.036743,0.066645,0.012635
3.638857,5.343538,5.881183,0.004178,-0.013813,-0.003951
3.935162,5.756143,8.243213,-0.004178,0.013813,0.003951
5.764399,6.218295,6.911756,0.000232,0.005962,0.000793
1.80962,4.881386,7.21264,-0.000232,-0.005962,-0.000793
1.257966,7.224272,5.481744,-0.033268,0.071327,0.004703
6.316053,3.875408,8.642652,0.033268,-0.071327,-0.004703
2.051955,7.920628,3.254803,-0.065174,0.125477,0.012183
5.522064,3.179053,10.869592,0.065174,-0.125477,-0.012183
