X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.017578,0.01571,-0.040445
2.87538,7.939936,13.90834,-0.017578,-0.01571,0.040445
3.719169,3.171409,1.224242,0.097852,-0.053377,0.02614
3.85485,7.928272,12.900154,-0.097852,0.053377,-0.02614
3.905538,2.495774,2.453079,0.114199,-0.074078,0.036513
3.668481,8.603907,11.671317,-0.114199,0.074078,-0.036513
2.935222,2.524374,3.455308,0.099663,-0.079068,0.040041
4.638797,8.575307,10.669088,-0.099663,0.079068,-0.040041
3.123484,1.861451,4.711497,-0.037258,-0.04454,0.089451
4.450535,9.23823,9.412899,0.037258,0.04454,-0.089451
2.157608,1.918712,5.685533,-0.120289,0.038395,0.014406
5.416411,9.180969,8.438863,0.120289,-0.038395,-0.014406
0.941986,2.639235,5.465655,-0.08918,0.06432,-0.072176
6.632033,8.460445,8.65874,0.08918,-0.06432,0.072176
0.716085,3.282691,4.275831,0.037937,0.02219,-0.108714
6.857934,7.81699,9.848564,-0.037937,-0.02219,0.108714
1.695335,3.253034,3.231222,0.121368,-0.059683,-0.013028
5.878684,7.846646,10.893173,-0.121368,0.059683,0.013028
1.495953,3.915837,2.020092,0.126405,-0.062258,0.00168
6.078067,7.183844,12.104303,-0.126405,0.062258,-0.00168
5.098186,7.196984,13.124433,-0.101876,0.050997,-0.009558
2.475833,3.902697,0.999962,0.101876,-0.050997,0.009558
6.371443,10.62244,13.549097,-0.015851,-0.027596,0.053737
1.202576,0.47724,0.575299,0.015851,0.027596,-0.053737
5.967171,7.163488,0.814803,0.13331,0.04626,0.048383
1.606848,3.936193,13.309592,-0.13331,-0.04626,-0.048383
4.983276,6.594891,1.657242,0.165628,0.062172,0.047597
2.590743,4.504789,12.467153,-0.165628,-0.062172,-0.047597
5.173897,6.492191,3.035826,0.157444,0.071508,0.030735
2.400122,4.60749,11.088569,-0.157444,-0.071508,-0.030735
4.187287,5.905941,3.892689,0.045952,0.057653,-0.129987
3.386732,5.19374,10.231706,-0.045952,-0.057653,0.129987
4.39932,5.810569,5.245598,-0.118666,-0.016869,-0.121008
3.1747,5.289111,8.878798,0.118666,0.016869,0.121008
5.610011,6.298359,5.829263,-0.149871,-0.069142,-0.013553
1.964008,4.801322,8.295133,0.149871,0.069142,0.013553
6.5866,6.858686,5.043521,-0.038469,-0.041015,0.125628
0.987419,4.240994,9.080875,0.038469,0.041015,-0.125628
6.411273,6.979367,3.626882,0.13245,0.049737,0.100204
1.162747,4.120314,10.497514,-0.13245,-0.049737,-0.100204
1.121506,7.547218,2.807259,0.144506,0.062721,0.094689
6.452513,3.552463,11.317137,-0.144506,-0.062721,-0.094689
6.632662,3.445771,12.71628,-0.121535,-0.05172,-0.069076
0.941357,7.65391,1.408116,0.121535,0.05172,0.069076
5.633376,2.607569,0.382961,0.017582,0.015416,-0.045743
1.940643,8.492112,13.741435,-0.017582,-0.015416,0.045743
4.840773,1.945228,2.622035,0.034299,-0.020186,0.006834
2.733246,9.154452,11.502361,-0.034299,0.020186,-0.006834
4.055198,1.305234,4.8763,-0.023586,-0.024424,0.059458
3.518821,9.794447,9.248096,0.023586,0.024424,-0.059458
3.038702,9.14962,6.642741,-0.054892,0.021908,0.013515
4.535317,1.950061,7.481655,0.054892,-0.021908,-0.013515
6.454004,2.681878,6.259783,-0.040601,0.033239,-0.036102
1.120015,8.417803,7.864613,0.040601,-0.033239,0.036102
6.050913,3.837101,4.107258,0.023317,0.016689,-0.065395
1.523106,7.26258,10.017137,-0.023317,-0.016689,0.065395
0.561596,4.469044,1.854532,0.035416,-0.018466,0.005079
7.012423,6.630636,12.269863,-0.035416,0.018466,-0.005079
5.439271,10.251237,13.102605,-0.020302,-0.022603,0.060449
2.134749,0.848443,1.021791,0.020302,0.022603,-0.060449
4.050192,6.224641,1.211633,0.04628,0.015405,0.018885
3.523827,4.87504,12.912762,-0.04628,-0.015405,-0.018885
3.25934,5.531306,3.443297,0.028615,0.03183,-0.081688
4.314679,5.568374,10.681099,-0.028615,-0.03183,0.081688
3.638857,5.343538,5.881183,-0.053892,-0.006867,-0.060339
3.935162,5.756143,8.243213,0.053892,0.006867,0.060339
5.764399,6.218295,6.911756,-0.069615,-0.036561,-0.001309
1.80962,4.881386,7.21264,0.069615,0.036561,0.001309
1.257966,7.224272,5.481744,-0.02578,-0.02785,0.080846
6.316053,3.875408,8.642652,0.02578,0.02785,-0.080846
2.051955,7.920628,3.254803,0.042551,0.021149,0.022723
5.522064,3.179053,10.869592,-0.042551,-0.021149,-0.022723
