X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.010232,0.024463,0.011831
2.87538,7.939936,13.90834,0.010232,0.024463,0.011831
3.719169,3.171409,1.224242,0.065627,0.131903,0.064033
3.85485,7.928272,12.900154,0.065627,0.131903,0.064033
3.905538,2.495774,2.453079,0.135687,0.264729,0.125883
3.668481,8.603907,11.671317,0.135687,0.264729,0.125883
2.935222,2.524374,3.455308,0.027362,0.049011,0.02622
4.638797,8.575307,10.669088,0.027362,0.049011,0.02622
3.123484,1.861451,4.711497,-0.060588,-0.112658,-0.046397
4.450535,9.23823,9.412899,-0.060588,-0.112658,-0.046397
2.157608,1.918712,5.685533,-0.064668,-0.11113,-0.05068
5.416411,9.180969,8.438863,-0.064668,-0.11113,-0.05068
0.941986,2.639235,5.465655,0.068224,0.148488,0.06412
6.632033,8.460445,8.65874,0.068224,0.148488,0.06412
0.716085,3.282691,4.275831,0.041,0.08088,0.032771
6.857934,7.81699,9.848564,0.041,0.08088,0.032771
1.695335,3.253034,3.231222,-0.048848,-0.104081,-0.046591
5.878684,7.846646,10.893173,-0.048848,-0.104081,-0.046591
1.495953,3.915837,2.020092,-0.135222,-0.274843,-0.125645
6.078067,7.183844,12.104303,-0.135222,-0.274843,-0.125645
5.098186,7.196984,13.124433,-0.047135,-0.092273,-0.042948
2.475833,3.902697,0.999962,-0.047135,-0.092273,-0.042948
6.371443,10.62244,13.549097,0.002087,-0.000977,-3.6e-05
1.202576,0.47724,0.575299,0.002087,-0.000977,-3.6e-05
5.967171,7.163488,0.814803,0.023507,-0.05,-0.00716
1.606848,3.936193,13.309592,0.023507,-0.05,-0.00716
4.983276,6.594891,1.657242,0.057309,-0.129972,-0.020428
2.590743,4.504789,12.467153,0.057309,-0.129972,-0.020428
5.173897,6.492191,3.035826,0.014585,-0.044862,-0.008584
2.400122,4.60749,11.088569,0.014585,-0.044862,-0.008584
4.187287,5.905941,3.892689,-0.023914,0.043837,0.009632
3.386732,5.19374,10.231706,-0.023914,0.043837,0.009632
4.39932,5.810569,5.245598,-0.023478,0.063735,0.012369
3.1747,5.289111,8.878798,-0.023478,0.063735,0.012369
5.610011,6.298359,5.829263,0.039136,-0.064468,-0.009425
1.964008,4.801322,8.295133,0.039136,-0.064468,-0.009425
6.5866,6.858686,5.043521,0.026888,-0.048092,-0.012658
0.987419,4.240994,9.080875,0.026888,-0.048092,-0.012658
6.411273,6.979367,3.626882,-0.018205,0.030527,-0.000279
1.162747,4.120314,10.497514,-0.018205,0.030527,-0.000279
1.121506,7.547218,2.807259,-0.064776,0.131996,0.015606
6.452513,3.552463,11.317137,-0.064776,0.131996,0.015606
6.632662,3.445771,12.71628,-0.027094,0.059168,0.0068
0.941357,7.65391,1.408116,-0.027094,0.059168,0.0068
5.633376,2.607569,0.382961,-8.4e-05,0.001215,0.000312
1.940643,8.492112,13.741435,-8.4e-05,0.001215,0.000312
4.840773,1.945228,2.622035,0.057314,0.112132,0.052546
2.733246,9.154452,11.502361,0.057314,0.112132,0.052546
4.055198,1.305234,4.8763,-0.033106,-0.062013,-0.025055
3.518821,9.794447,9.248096,-0.033106,-0.062013,-0.025055
3.038702,9.14962,6.642741,-0.037348,-0.071917,-0.032702
4.535317,1.950061,7.481655,-0.037348,-0.071917,-0.032702
6.454004,2.681878,6.259783,0.045249,0.094978,0.040281
1.120015,8.417803,7.864613,0.045249,0.094978,0.040281
6.050913,3.837101,4.107258,0.027258,0.052468,0.021174
1.523106,7.26258,10.017137,0.027258,0.052468,0.021174
0.561596,4.469044,1.854532,-0.055116,-0.110455,-0.049867
7.012423,6.630636,12.269863,-0.055116,-0.110455,-0.049867
5.439271,10.251237,13.102605,0.003194,-0.005179,-0.000808
2.134749,0.848443,1.021791,0.003194,-0.005179,-0.000808
4.050192,6.224641,1.211633,0.023709,-0.051927,-0.008867
3.523827,4.87504,12.912762,0.023709,-0.051927,-0.008867
3.25934,5.531306,3.443297,-0.015913,0.029056,0.007044
4.314679,5.568374,10.681099,-0.015913,0.029056,0.007044
3.638857,5.343538,5.881183,-0.017607,0.043068,0.008471
3.935162,5.756143,8.243213,-0.017607,0.043068,0.008471
5.764399,6.218295,6.911756,0.023119,-0.040948,-0.005993
1.80962,4.881386,7.21264,0.023119,-0.040948,-0.005993
1.257966,7.224272,5.481744,0.013954,-0.026644,-0.006468
6.316053,3.875408,8.642652,0.013954,-0.026644,-0.006468
2.051955,7.920628,3.254803,-0.027797,0.056156,0.008155
5.522064,3.179053,10.869592,-0.027797,0.056156,0.008155
