X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.002566,0.006782,0.007866
2.87538,7.939936,13.90834,-0.002566,-0.006782,-0.007866
3.719169,3.171409,1.224242,-0.004171,-0.006338,-0.002571
3.85485,7.928272,12.900154,0.004171,0.006338,0.002571
3.905538,2.495774,2.453079,0.013903,0.015699,0.004723
3.668481,8.603907,11.671317,-0.013903,-0.015699,-0.004723
2.935222,2.524374,3.455308,0.001767,0.007896,-0.003105
4.638797,8.575307,10.669088,-0.001767,-0.007896,0.003105
3.123484,1.861451,4.711497,0.051166,0.102316,0.044165
4.450535,9.23823,9.412899,-0.051166,-0.102316,-0.044165
2.157608,1.918712,5.685533,-0.082602,-0.135768,-0.071258
5.416411,9.180969,8.438863,0.082602,0.135768,0.071258
0.941986,2.639235,5.465655,0.092255,0.138182,0.058199
6.632033,8.460445,8.65874,-0.092255,-0.138182,-0.058199
0.716085,3.282691,4.275831,-0.054403,-0.122538,-0.039027
6.857934,7.81699,9.848564,0.054403,0.122538,0.039027
1.695335,3.253034,3.231222,-0.007412,0.000788,0.005005
5.878684,7.846646,10.893173,0.007412,-0.000788,-0.005005
1.495953,3.915837,2.020092,-0.003557,-0.018743,-0.005567
6.078067,7.183844,12.104303,0.003557,0.018743,0.005567
5.098186,7.196984,13.124433,-0.003783,-0.005275,6.1e-05
2.475833,3.902697,0.999962,0.003783,0.005275,-6.1e-05
6.371443,10.62244,13.549097,0.002964,-0.004059,-0.001792
1.202576,0.47724,0.575299,-0.002964,0.004059,0.001792
5.967171,7.163488,0.814803,-0.003411,0.000918,0.001264
1.606848,3.936193,13.309592,0.003411,-0.000918,-0.001264
4.983276,6.594891,1.657242,0.006901,-0.005889,0.005991
2.590743,4.504789,12.467153,-0.006901,0.005889,-0.005991
5.173897,6.492191,3.035826,0.002365,0.000446,0.001252
2.400122,4.60749,11.088569,-0.002365,-0.000446,-0.001252
4.187287,5.905941,3.892689,0.015936,-0.042447,-0.01443
3.386732,5.19374,10.231706,-0.015936,0.042447,0.01443
4.39932,5.810569,5.245598,-0.026147,0.051611,0.004843
3.1747,5.289111,8.878798,0.026147,-0.051611,-0.004843
5.610011,6.298359,5.829263,0.033932,-0.057727,0.002623
1.964008,4.801322,8.295133,-0.033932,0.057727,-0.002623
6.5866,6.858686,5.043521,-0.026418,0.04116,-0.000275
0.987419,4.240994,9.080875,0.026418,-0.04116,0.000275
6.411273,6.979367,3.626882,-0.003357,8.7e-05,-0.004594
1.162747,4.120314,10.497514,0.003357,-8.7e-05,0.004594
1.121506,7.547218,2.807259,-0.00293,0.009254,0.0026
6.452513,3.552463,11.317137,0.00293,-0.009254,-0.0026
6.632662,3.445771,12.71628,-0.000388,0.003764,-0.001385
0.941357,7.65391,1.408116,0.000388,-0.003764,0.001385
5.633376,2.607569,0.382961,-0.006684,-0.011797,-0.002087
1.940643,8.492112,13.741435,0.006684,0.011797,0.002087
4.840773,1.945228,2.622035,-0.014006,-0.030705,-0.014713
2.733246,9.154452,11.502361,0.014006,0.030705,0.014713
4.055198,1.305234,4.8763,-0.10302,-0.198385,-0.089959
3.518821,9.794447,9.248096,0.10302,0.198385,0.089959
3.038702,9.14962,6.642741,0.108481,0.284419,0.129185
4.535317,1.950061,7.481655,-0.108481,-0.284419,-0.129185
6.454004,2.681878,6.259783,-0.130505,-0.258922,-0.116797
1.120015,8.417803,7.864613,0.130505,0.258922,0.116797
6.050913,3.837101,4.107258,0.116484,0.224626,0.119525
1.523106,7.26258,10.017137,-0.116484,-0.224626,-0.119525
0.561596,4.469044,1.854532,0.013751,0.022571,0.008982
7.012423,6.630636,12.269863,-0.013751,-0.022571,-0.008982
5.439271,10.251237,13.102605,-0.002792,0.007881,-0.000544
2.134749,0.848443,1.021791,0.002792,-0.007881,0.000544
4.050192,6.224641,1.211633,-0.00504,0.009816,0.007049
3.523827,4.87504,12.912762,0.00504,-0.009816,-0.007049
3.25934,5.531306,3.443297,-0.04038,0.086496,0.005656
4.314679,5.568374,10.681099,0.04038,-0.086496,-0.005656
3.638857,5.343538,5.881183,0.043146,-0.091446,-0.01557
3.935162,5.756143,8.243213,-0.043146,0.091446,0.01557
5.764399,6.218295,6.911756,-0.037102,0.114502,0.017178
1.80962,4.881386,7.21264,0.037102,-0.114502,-0.017178
1.257966,7.224272,5.481744,0.036645,-0.088959,-0.009572
6.316053,3.875408,8.642652,-0.036645,0.088959,0.009572
2.051955,7.920628,3.254803,0.006901,-0.016633,0.000557
5.522064,3.179053,10.869592,-0.006901,0.016633,-0.000557
