X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.080217,0.164771,0.076432
2.87538,7.939936,13.90834,0.080217,0.164771,0.076432
3.719169,3.171409,1.224242,-0.048861,-0.099125,-0.055052
3.85485,7.928272,12.900154,-0.048861,-0.099125,-0.055052
3.905538,2.495774,2.453079,0.097889,0.152497,0.062171
3.668481,8.603907,11.671317,0.097889,0.152497,0.062171
2.935222,2.524374,3.455308,-0.030701,-0.057851,-0.03911
4.638797,8.575307,10.669088,-0.030701,-0.057851,-0.03911
3.123484,1.861451,4.711497,-0.011553,0.021364,0.006494
4.450535,9.23823,9.412899,-0.011553,0.021364,0.006494
2.157608,1.918712,5.685533,0.027079,0.022777,0.047302
5.416411,9.180969,8.438863,0.027079,0.022777,0.047302
0.941986,2.639235,5.465655,0.017941,0.00375,-0.018139
6.632033,8.460445,8.65874,0.017941,0.00375,-0.018139
0.716085,3.282691,4.275831,-0.028926,0.001284,-0.013455
6.857934,7.81699,9.848564,-0.028926,0.001284,-0.013455
1.695335,3.253034,3.231222,-0.015353,-0.018086,0.000635
5.878684,7.846646,10.893173,-0.015353,-0.018086,0.000635
1.495953,3.915837,2.020092,0.047169,0.069075,0.05275
6.078067,7.183844,12.104303,0.047169,0.069075,0.05275
5.098186,7.196984,13.124433,-0.040829,-0.0764,-0.032268
2.475833,3.902697,0.999962,-0.040829,-0.0764,-0.032268
6.371443,10.62244,13.549097,-0.062072,0.135155,0.021394
1.202576,0.47724,0.575299,-0.062072,0.135155,0.021394
5.967171,7.163488,0.814803,0.032738,-0.062703,-0.010266
1.606848,3.936193,13.309592,0.032738,-0.062703,-0.010266
4.983276,6.594891,1.657242,-0.037044,0.073746,-0.002543
2.590743,4.504789,12.467153,-0.037044,0.073746,-0.002543
5.173897,6.492191,3.035826,0.012077,-0.015516,-0.008587
2.400122,4.60749,11.088569,0.012077,-0.015516,-0.008587
4.187287,5.905941,3.892689,0.015393,-0.006917,0.005511
3.386732,5.19374,10.231706,0.015393,-0.006917,0.005511
4.39932,5.810569,5.245598,-0.014289,0.000125,0.011273
3.1747,5.289111,8.878798,-0.014289,0.000125,0.011273
5.610011,6.298359,5.829263,-0.016273,0.029914,-0.013147
1.964008,4.801322,8.295133,-0.016273,0.029914,-0.013147
6.5866,6.858686,5.043521,0.010495,0.006494,0.004119
0.987419,4.240994,9.080875,0.010495,0.006494,0.004119
6.411273,6.979367,3.626882,0.020328,-0.042665,0.001029
1.162747,4.120314,10.497514,0.020328,-0.042665,0.001029
1.121506,7.547218,2.807259,-0.063638,0.111358,0.019085
6.452513,3.552463,11.317137,-0.063638,0.111358,0.019085
6.632662,3.445771,12.71628,0.03383,-0.080085,-0.006678
0.941357,7.65391,1.408116,0.03383,-0.080085,-0.006678
5.633376,2.607569,0.382961,-0.124066,-0.244171,-0.118391
1.940643,8.492112,13.741435,-0.124066,-0.244171,-0.118391
4.840773,1.945228,2.622035,-0.117138,-0.245028,-0.118641
2.733246,9.154452,11.502361,-0.117138,-0.245028,-0.118641
4.055198,1.305234,4.8763,0.000368,0.009619,-0.006257
3.518821,9.794447,9.248096,0.000368,0.009619,-0.006257
3.038702,9.14962,6.642741,-0.038196,-0.084682,-0.026962
4.535317,1.950061,7.481655,-0.038196,-0.084682,-0.026962
6.454004,2.681878,6.259783,-0.004989,-0.010425,-0.013584
1.120015,8.417803,7.864613,-0.004989,-0.010425,-0.013584
6.050913,3.837101,4.107258,0.011827,0.040749,0.018592
1.523106,7.26258,10.017137,0.011827,0.040749,0.018592
0.561596,4.469044,1.854532,-0.053267,-0.111278,-0.044164
7.012423,6.630636,12.269863,-0.053267,-0.111278,-0.044164
5.439271,10.251237,13.102605,0.09364,-0.204007,-0.024865
2.134749,0.848443,1.021791,0.09364,-0.204007,-0.024865
4.050192,6.224641,1.211633,0.046324,-0.100792,-0.019262
3.523827,4.87504,12.912762,0.046324,-0.100792,-0.019262
3.25934,5.531306,3.443297,-0.011285,0.032697,0.004492
4.314679,5.568374,10.681099,-0.011285,0.032697,0.004492
3.638857,5.343538,5.881183,0.006418,-0.018622,0.001918
3.935162,5.756143,8.243213,0.006418,-0.018622,0.001918
5.764399,6.218295,6.911756,0.025311,-0.054867,-0.012801
1.80962,4.881386,7.21264,0.025311,-0.054867,-0.012801
1.257966,7.224272,5.481744,-0.004842,0.014693,0.006797
6.316053,3.875408,8.642652,-0.004842,0.014693,0.006797
2.051955,7.920628,3.254803,0.080469,-0.178598,-0.024509
5.522064,3.179053,10.869592,0.080469,-0.178598,-0.024509
