X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.05649,-0.030346,0.122694
2.87538,7.939936,13.90834,-0.05649,-0.030346,0.122694
3.719169,3.171409,1.224242,-0.017831,0.043257,-0.071606
3.85485,7.928272,12.900154,-0.017831,0.043257,-0.071606
3.905538,2.495774,2.453079,0.07882,0.006375,-0.100407
3.668481,8.603907,11.671317,0.07882,0.006375,-0.100407
2.935222,2.524374,3.455308,-0.098483,0.048379,0.001556
4.638797,8.575307,10.669088,-0.098483,0.048379,0.001556
3.123484,1.861451,4.711497,-0.083759,-0.072735,0.257389
4.450535,9.23823,9.412899,-0.083759,-0.072735,0.257389
2.157608,1.918712,5.685533,-0.027602,0.075804,-0.138139
5.416411,9.180969,8.438863,-0.027602,0.075804,-0.138139
0.941986,2.639235,5.465655,0.138162,-0.049908,-0.045549
6.632033,8.460445,8.65874,0.138162,-0.049908,-0.045549
0.716085,3.282691,4.275831,-0.132535,-0.051579,0.267075
6.857934,7.81699,9.848564,-0.132535,-0.051579,0.267075
1.695335,3.253034,3.231222,0.118249,-0.036174,-0.053626
5.878684,7.846646,10.893173,0.118249,-0.036174,-0.053626
1.495953,3.915837,2.020092,0.015619,0.047851,-0.119662
6.078067,7.183844,12.104303,0.015619,0.047851,-0.119662
5.098186,7.196984,13.124433,0.03217,-0.036963,0.044139
2.475833,3.902697,0.999962,0.03217,-0.036963,0.044139
6.371443,10.62244,13.549097,-0.009032,-0.007177,0.021984
1.202576,0.47724,0.575299,-0.009032,-0.007177,0.021984
5.967171,7.163488,0.814803,0.011234,0.003762,0.008971
1.606848,3.936193,13.309592,0.011234,0.003762,0.008971
4.983276,6.594891,1.657242,0.001843,0.00424,-0.02307
2.590743,4.504789,12.467153,0.001843,0.00424,-0.02307
5.173897,6.492191,3.035826,0.018854,0.009444,-0.002256
2.400122,4.60749,11.088569,0.018854,0.009444,-0.002256
4.187287,5.905941,3.892689,-0.022,-0.017849,0.048975
3.386732,5.19374,10.231706,-0.022,-0.017849,0.048975
4.39932,5.810569,5.245598,0.022775,0.011521,-0.007533
3.1747,5.289111,8.878798,0.022775,0.011521,-0.007533
5.610011,6.298359,5.829263,-0.006833,0.001805,-0.027609
1.964008,4.801322,8.295133,-0.006833,0.001805,-0.027609
6.5866,6.858686,5.043521,-0.014876,-0.014458,0.049192
0.987419,4.240994,9.080875,-0.014876,-0.014458,0.049192
6.411273,6.979367,3.626882,-0.015447,-0.006361,-0.009023
1.162747,4.120314,10.497514,-0.015447,-0.006361,-0.009023
1.121506,7.547218,2.807259,0.014581,0.00872,-0.014583
6.452513,3.552463,11.317137,0.014581,0.00872,-0.014583
6.632662,3.445771,12.71628,-0.010021,-0.002513,-0.014429
0.941357,7.65391,1.408116,-0.010021,-0.002513,-0.014429
5.633376,2.607569,0.382961,0.037871,0.038749,-0.120417
1.940643,8.492112,13.741435,0.037871,0.038749,-0.120417
4.840773,1.945228,2.622035,-0.010942,-0.027979,0.075354
2.733246,9.154452,11.502361,-0.010942,-0.027979,0.075354
4.055198,1.305234,4.8763,0.05794,0.047557,-0.174147
3.518821,9.794447,9.248096,0.05794,0.047557,-0.174147
3.038702,9.14962,6.642741,0.088301,-0.007478,-0.079811
4.535317,1.950061,7.481655,0.088301,-0.007478,-0.079811
6.454004,2.681878,6.259783,-0.080189,0.100236,-0.140478
1.120015,8.417803,7.864613,-0.080189,0.100236,-0.140478
6.050913,3.837101,4.107258,0.059142,0.063176,-0.208552
1.523106,7.26258,10.017137,0.059142,0.063176,-0.208552
0.561596,4.469044,1.854532,-0.034667,-0.018959,0.078983
7.012423,6.630636,12.269863,-0.034667,-0.018959,0.078983
5.439271,10.251237,13.102605,0.009396,0.008039,-0.027268
2.134749,0.848443,1.021791,0.009396,0.008039,-0.027268
4.050192,6.224641,1.211633,-0.007972,-0.006427,0.01727
3.523827,4.87504,12.912762,-0.007972,-0.006427,0.01727
3.25934,5.531306,3.443297,0.012287,0.012116,-0.038968
4.314679,5.568374,10.681099,0.012287,0.012116,-0.038968
3.638857,5.343538,5.881183,-0.011998,-0.001117,-0.029482
3.935162,5.756143,8.243213,-0.011998,-0.001117,-0.029482
5.764399,6.218295,6.911756,0.020434,0.009027,-0.011812
1.80962,4.881386,7.21264,0.020434,0.009027,-0.011812
1.257966,7.224272,5.481744,0.011927,0.012511,-0.03433
6.316053,3.875408,8.642652,0.011927,0.012511,-0.03433
2.051955,7.920628,3.254803,-0.00401,-0.004287,0.019186
5.522064,3.179053,10.869592,-0.00401,-0.004287,0.019186
