X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.025407,0.014992,-0.004415
2.87538,7.939936,13.90834,0.025407,-0.014992,0.004415
3.719169,3.171409,1.224242,-6.5e-05,0.000329,-0.000164
3.85485,7.928272,12.900154,6.5e-05,-0.000329,0.000164
3.905538,2.495774,2.453079,-0.017872,0.010519,-0.003366
3.668481,8.603907,11.671317,0.017872,-0.010519,0.003366
2.935222,2.524374,3.455308,0.000203,0.000751,-0.000686
4.638797,8.575307,10.669088,-0.000203,-0.000751,0.000686
3.123484,1.861451,4.711497,0.003496,-0.001828,0.000233
4.450535,9.23823,9.412899,-0.003496,0.001828,-0.000233
2.157608,1.918712,5.685533,0.000136,-0.002268,0.005159
5.416411,9.180969,8.438863,-0.000136,0.002268,-0.005159
0.941986,2.639235,5.465655,0.003924,-0.000472,-0.003508
6.632033,8.460445,8.65874,-0.003924,0.000472,0.003508
0.716085,3.282691,4.275831,-0.009666,0.005832,-0.002094
6.857934,7.81699,9.848564,0.009666,-0.005832,0.002094
1.695335,3.253034,3.231222,0.000434,0.0005,-0.000936
5.878684,7.846646,10.893173,-0.000434,-0.0005,0.000936
1.495953,3.915837,2.020092,0.020032,-0.011901,0.003508
6.078067,7.183844,12.104303,-0.020032,0.011901,-0.003508
5.098186,7.196984,13.124433,-6.6e-05,0.000153,-0.000151
2.475833,3.902697,0.999962,6.6e-05,-0.000153,0.000151
6.371443,10.62244,13.549097,-0.064346,-0.025731,-0.030659
1.202576,0.47724,0.575299,0.064346,0.025731,0.030659
5.967171,7.163488,0.814803,-0.00092,-0.000452,-0.000613
1.606848,3.936193,13.309592,0.00092,0.000452,0.000613
4.983276,6.594891,1.657242,-0.049896,-0.019991,-0.023361
2.590743,4.504789,12.467153,0.049896,0.019991,0.023361
5.173897,6.492191,3.035826,-0.002057,-0.0013,0.001874
2.400122,4.60749,11.088569,0.002057,0.0013,-0.001874
4.187287,5.905941,3.892689,0.050519,0.02003,0.025461
3.386732,5.19374,10.231706,-0.050519,-0.02003,-0.025461
4.39932,5.810569,5.245598,-0.015617,-0.009153,0.010335
3.1747,5.289111,8.878798,0.015617,0.009153,-0.010335
5.610011,6.298359,5.829263,-0.001378,0.001316,-0.01384
1.964008,4.801322,8.295133,0.001378,-0.001316,0.01384
6.5866,6.858686,5.043521,-0.000738,-0.000387,0.000433
0.987419,4.240994,9.080875,0.000738,0.000387,-0.000433
6.411273,6.979367,3.626882,-0.002678,-0.001813,0.004436
1.162747,4.120314,10.497514,0.002678,0.001813,-0.004436
1.121506,7.547218,2.807259,0.134354,0.053842,0.0641
6.452513,3.552463,11.317137,-0.134354,-0.053842,-0.0641
6.632662,3.445771,12.71628,-0.00061,-0.000759,0.002514
0.941357,7.65391,1.408116,0.00061,0.000759,-0.002514
5.633376,2.607569,0.382961,0.085785,-0.050629,0.015317
1.940643,8.492112,13.741435,-0.085785,0.050629,-0.015317
4.840773,1.945228,2.622035,0.060749,-0.035855,0.011286
2.733246,9.154452,11.502361,-0.060749,0.035855,-0.011286
4.055198,1.305234,4.8763,-0.009849,0.005817,-0.00154
3.518821,9.794447,9.248096,0.009849,-0.005817,0.00154
3.038702,9.14962,6.642741,-0.002681,0.008402,-0.016151
4.535317,1.950061,7.481655,0.002681,-0.008402,0.016151
6.454004,2.681878,6.259783,-0.013362,0.000654,0.014195
1.120015,8.417803,7.864613,0.013362,-0.000654,-0.014195
6.050913,3.837101,4.107258,0.033171,-0.019928,0.006185
1.523106,7.26258,10.017137,-0.033171,0.019928,-0.006185
0.561596,4.469044,1.854532,-0.066964,0.039455,-0.011397
7.012423,6.630636,12.269863,0.066964,-0.039455,0.011397
5.439271,10.251237,13.102605,0.217244,0.086944,0.102944
2.134749,0.848443,1.021791,-0.217244,-0.086944,-0.102944
4.050192,6.224641,1.211633,0.167414,0.067038,0.078462
3.523827,4.87504,12.912762,-0.167414,-0.067038,-0.078462
3.25934,5.531306,3.443297,-0.170533,-0.069035,-0.082841
4.314679,5.568374,10.681099,0.170533,0.069035,0.082841
3.638857,5.343538,5.881183,0.053361,0.032527,-0.04469
3.935162,5.756143,8.243213,-0.053361,-0.032527,0.04469
5.764399,6.218295,6.911756,0.006643,-0.003356,0.045357
1.80962,4.881386,7.21264,-0.006643,0.003356,-0.045357
1.257966,7.224272,5.481744,0.001252,0.000706,-0.00117
6.316053,3.875408,8.642652,-0.001252,-0.000706,0.00117
2.051955,7.920628,3.254803,-0.450498,-0.180742,-0.217241
5.522064,3.179053,10.869592,0.450498,0.180742,0.217241
