X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.023816,0.014208,-0.00481
2.87538,7.939936,13.90834,0.023816,-0.014208,0.00481
3.719169,3.171409,1.224242,0.042863,-0.018831,-0.006277
3.85485,7.928272,12.900154,-0.042863,0.018831,0.006277
3.905538,2.495774,2.453079,0.02237,-0.005228,-0.013292
3.668481,8.603907,11.671317,-0.02237,0.005228,0.013292
2.935222,2.524374,3.455308,-0.088525,0.048134,-0.007433
4.638797,8.575307,10.669088,0.088525,-0.048134,0.007433
3.123484,1.861451,4.711497,-0.013367,-0.01528,0.048695
4.450535,9.23823,9.412899,0.013367,0.01528,-0.048695
2.157608,1.918712,5.685533,0.032552,-0.004431,-0.027249
5.416411,9.180969,8.438863,-0.032552,0.004431,0.027249
0.941986,2.639235,5.465655,-0.01004,0.019883,-0.032959
6.632033,8.460445,8.65874,0.01004,-0.019883,0.032959
0.716085,3.282691,4.275831,-0.021356,-0.010193,0.047371
6.857934,7.81699,9.848564,0.021356,0.010193,-0.047371
1.695335,3.253034,3.231222,0.084296,-0.054097,0.02403
5.878684,7.846646,10.893173,-0.084296,0.054097,-0.02403
1.495953,3.915837,2.020092,-0.011849,0.015409,-0.02065
6.078067,7.183844,12.104303,0.011849,-0.015409,0.02065
5.098186,7.196984,13.124433,0.032812,-0.026116,0.020158
2.475833,3.902697,0.999962,-0.032812,0.026116,-0.020158
6.371443,10.62244,13.549097,0.062866,0.024988,0.029827
1.202576,0.47724,0.575299,-0.062866,-0.024988,-0.029827
5.967171,7.163488,0.814803,-0.056751,-0.012524,-0.101709
1.606848,3.936193,13.309592,0.056751,0.012524,0.101709
4.983276,6.594891,1.657242,-0.06571,-0.023985,-0.045805
2.590743,4.504789,12.467153,0.06571,0.023985,0.045805
5.173897,6.492191,3.035826,0.288503,0.113667,0.144683
2.400122,4.60749,11.088569,-0.288503,-0.113667,-0.144683
4.187287,5.905941,3.892689,-0.066069,-0.056277,0.174441
3.386732,5.19374,10.231706,0.066069,0.056277,-0.174441
4.39932,5.810569,5.245598,-0.058119,-0.004044,-0.162226
3.1747,5.289111,8.878798,0.058119,0.004044,0.162226
5.610011,6.298359,5.829263,0.141797,0.075379,-0.067967
1.964008,4.801322,8.295133,-0.141797,-0.075379,0.067967
6.5866,6.858686,5.043521,-0.0609,-0.053371,0.178543
0.987419,4.240994,9.080875,0.0609,0.053371,-0.178543
6.411273,6.979367,3.626882,-0.291493,-0.116156,-0.132791
1.162747,4.120314,10.497514,0.291493,0.116156,0.132791
1.121506,7.547218,2.807259,0.074189,0.031654,0.021266
6.452513,3.552463,11.317137,-0.074189,-0.031654,-0.021266
6.632662,3.445771,12.71628,-0.102451,-0.05082,0.025565
0.941357,7.65391,1.408116,0.102451,0.05082,-0.025565
5.633376,2.607569,0.382961,-0.007584,0.004207,-0.000191
1.940643,8.492112,13.741435,0.007584,-0.004207,0.000191
4.840773,1.945228,2.622035,0.017675,0.007429,-0.032455
2.733246,9.154452,11.502361,-0.017675,-0.007429,0.032455
4.055198,1.305234,4.8763,-0.001942,-0.001669,0.004687
3.518821,9.794447,9.248096,0.001942,0.001669,-0.004687
3.038702,9.14962,6.642741,0.00634,0.00024,-0.007348
4.535317,1.950061,7.481655,-0.00634,-0.00024,0.007348
6.454004,2.681878,6.259783,-0.002831,0.006861,-0.010245
1.120015,8.417803,7.864613,0.002831,-0.006861,0.010245
6.050913,3.837101,4.107258,-0.00182,-0.000304,0.005027
1.523106,7.26258,10.017137,0.00182,0.000304,-0.005027
0.561596,4.469044,1.854532,0.005492,0.012484,-0.034278
7.012423,6.630636,12.269863,-0.005492,-0.012484,0.034278
5.439271,10.251237,13.102605,0.018503,0.007977,0.009471
2.134749,0.848443,1.021791,-0.018503,-0.007977,-0.009471
4.050192,6.224641,1.211633,0.023842,0.030198,-0.13865
3.523827,4.87504,12.912762,-0.023842,-0.030198,0.13865
3.25934,5.531306,3.443297,-0.004887,-0.004937,0.019943
4.314679,5.568374,10.681099,0.004887,0.004937,-0.019943
3.638857,5.343538,5.881183,0.001797,0.003586,-0.024238
3.935162,5.756143,8.243213,-0.001797,-0.003586,0.024238
5.764399,6.218295,6.911756,0.011319,0.00763,-0.01892
1.80962,4.881386,7.21264,-0.011319,-0.00763,0.01892
1.257966,7.224272,5.481744,-0.008966,-0.006866,0.016477
6.316053,3.875408,8.642652,0.008966,0.006866,-0.016477
2.051955,7.920628,3.254803,0.067283,0.047855,-0.117247
5.522064,3.179053,10.869592,-0.067283,-0.047855,0.117247
