X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,0.046495,-0.027595,0.008428
2.87538,7.939936,13.90834,-0.046495,0.027595,-0.008428
3.719169,3.171409,1.224242,0.000195,-0.000119,0.000529
3.85485,7.928272,12.900154,-0.000195,0.000119,-0.000529
3.905538,2.495774,2.453079,0.019003,-0.01145,0.003754
3.668481,8.603907,11.671317,-0.019003,0.01145,-0.003754
2.935222,2.524374,3.455308,-0.000452,-0.000959,0.002647
4.638797,8.575307,10.669088,0.000452,0.000959,-0.002647
3.123484,1.861451,4.711497,-0.085891,0.051411,-0.015952
4.450535,9.23823,9.412899,0.085891,-0.051411,0.015952
2.157608,1.918712,5.685533,0.014411,-0.041598,0.075997
5.416411,9.180969,8.438863,-0.014411,0.041598,-0.075997
0.941986,2.639235,5.465655,0.02497,-0.001043,-0.027131
6.632033,8.460445,8.65874,-0.02497,0.001043,0.027131
0.716085,3.282691,4.275831,-0.021902,0.01312,-0.003962
6.857934,7.81699,9.848564,0.021902,-0.01312,0.003962
1.695335,3.253034,3.231222,0.000567,-0.000875,0.00127
5.878684,7.846646,10.893173,-0.000567,0.000875,-0.00127
1.495953,3.915837,2.020092,-0.04491,0.026672,-0.008082
6.078067,7.183844,12.104303,0.04491,-0.026672,0.008082
5.098186,7.196984,13.124433,-0.000192,0.000243,-0.00026
2.475833,3.902697,0.999962,0.000192,-0.000243,0.00026
6.371443,10.62244,13.549097,-0.073919,-0.029501,-0.035418
1.202576,0.47724,0.575299,0.073919,0.029501,0.035418
5.967171,7.163488,0.814803,3.7e-05,-8.1e-05,0.001668
1.606848,3.936193,13.309592,-3.7e-05,8.1e-05,-0.001668
4.983276,6.594891,1.657242,-0.038201,-0.015283,-0.018397
2.590743,4.504789,12.467153,0.038201,0.015283,0.018397
5.173897,6.492191,3.035826,5e-06,-7.7e-05,0.001742
2.400122,4.60749,11.088569,-5e-06,7.7e-05,-0.001742
4.187287,5.905941,3.892689,0.003232,0.00128,0.001793
3.386732,5.19374,10.231706,-0.003232,-0.00128,-0.001793
4.39932,5.810569,5.245598,-0.003201,-0.001888,0.00254
3.1747,5.289111,8.878798,0.003201,0.001888,-0.00254
5.610011,6.298359,5.829263,-0.002992,0.001259,-0.01795
1.964008,4.801322,8.295133,0.002992,-0.001259,0.01795
6.5866,6.858686,5.043521,0.027574,0.010731,0.013177
0.987419,4.240994,9.080875,-0.027574,-0.010731,-0.013177
6.411273,6.979367,3.626882,0.001558,0.001219,-0.001907
1.162747,4.120314,10.497514,-0.001558,-0.001219,0.001907
1.121506,7.547218,2.807259,-0.038783,-0.015616,-0.018114
6.452513,3.552463,11.317137,0.038783,0.015616,0.018114
6.632662,3.445771,12.71628,0.000822,0.000983,-0.004066
0.941357,7.65391,1.408116,-0.000822,-0.000983,0.004066
5.633376,2.607569,0.382961,-0.156443,0.092766,-0.02808
1.940643,8.492112,13.741435,0.156443,-0.092766,0.02808
4.840773,1.945228,2.622035,-0.063417,0.038176,-0.013029
2.733246,9.154452,11.502361,0.063417,-0.038176,0.013029
4.055198,1.305234,4.8763,0.29465,-0.176676,0.052887
3.518821,9.794447,9.248096,-0.29465,0.176676,-0.052887
3.038702,9.14962,6.642741,-0.045421,0.142662,-0.268921
4.535317,1.950061,7.481655,0.045421,-0.142662,0.268921
6.454004,2.681878,6.259783,-0.089909,0.004341,0.095933
1.120015,8.417803,7.864613,0.089909,-0.004341,-0.095933
6.050913,3.837101,4.107258,0.07611,-0.045014,0.012984
1.523106,7.26258,10.017137,-0.07611,0.045014,-0.012984
0.561596,4.469044,1.854532,0.150833,-0.089332,0.026084
7.012423,6.630636,12.269863,-0.150833,0.089332,-0.026084
5.439271,10.251237,13.102605,0.247739,0.098902,0.119247
2.134749,0.848443,1.021791,-0.247739,-0.098902,-0.119247
4.050192,6.224641,1.211633,0.12909,0.051621,0.060515
3.523827,4.87504,12.912762,-0.12909,-0.051621,-0.060515
3.25934,5.531306,3.443297,-0.012029,-0.004737,-0.006199
4.314679,5.568374,10.681099,0.012029,0.004737,0.006199
3.638857,5.343538,5.881183,0.011596,0.007182,-0.010139
3.935162,5.756143,8.243213,-0.011596,-0.007182,0.010139
5.764399,6.218295,6.911756,0.009028,-0.00491,0.063976
1.80962,4.881386,7.21264,-0.009028,0.00491,-0.063976
1.257966,7.224272,5.481744,-0.094769,-0.036869,-0.044584
6.316053,3.875408,8.642652,0.094769,0.036869,0.044584
2.051955,7.920628,3.254803,0.129811,0.052122,0.06157
5.522064,3.179053,10.869592,-0.129811,-0.052122,-0.06157
