X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.018925,0.011935,-0.00485
2.87538,7.939936,13.90834,0.018925,-0.011935,0.00485
3.719169,3.171409,1.224242,0.02522,-0.00013,-0.026195
3.85485,7.928272,12.900154,-0.02522,0.00013,0.026195
3.905538,2.495774,2.453079,0.002213,-0.009563,0.01768
3.668481,8.603907,11.671317,-0.002213,0.009563,-0.01768
2.935222,2.524374,3.455308,-0.013217,-0.007206,0.029918
4.638797,8.575307,10.669088,0.013217,0.007206,-0.029918
3.123484,1.861451,4.711497,0.010247,0.023747,-0.064621
4.450535,9.23823,9.412899,-0.010247,-0.023747,0.064621
2.157608,1.918712,5.685533,0.03535,-0.026682,0.020211
5.416411,9.180969,8.438863,-0.03535,0.026682,-0.020211
0.941986,2.639235,5.465655,-0.043182,0.020564,0.004205
6.632033,8.460445,8.65874,0.043182,-0.020564,-0.004205
0.716085,3.282691,4.275831,0.03019,0.00885,-0.05573
6.857934,7.81699,9.848564,-0.03019,-0.00885,0.05573
1.695335,3.253034,3.231222,-0.005559,-0.010172,0.029089
5.878684,7.846646,10.893173,0.005559,0.010172,-0.029089
1.495953,3.915837,2.020092,-0.012299,0.000631,0.012488
6.078067,7.183844,12.104303,0.012299,-0.000631,-0.012488
5.098186,7.196984,13.124433,0.006776,-0.018402,0.031373
2.475833,3.902697,0.999962,-0.006776,0.018402,-0.031373
6.371443,10.62244,13.549097,-0.066206,-0.025599,-0.036342
1.202576,0.47724,0.575299,0.066206,0.025599,0.036342
5.967171,7.163488,0.814803,0.006297,-0.015891,0.139762
1.606848,3.936193,13.309592,-0.006297,0.015891,-0.139762
4.983276,6.594891,1.657242,0.054938,0.032073,-0.048174
2.590743,4.504789,12.467153,-0.054938,-0.032073,0.048174
5.173897,6.492191,3.035826,0.029169,0.02969,-0.114109
2.400122,4.60749,11.088569,-0.029169,-0.02969,0.114109
4.187287,5.905941,3.892689,-0.124597,-0.088626,0.205811
3.386732,5.19374,10.231706,0.124597,0.088626,-0.205811
4.39932,5.810569,5.245598,0.174563,0.079366,0.028821
3.1747,5.289111,8.878798,-0.174563,-0.079366,-0.028821
5.610011,6.298359,5.829263,-0.132627,-0.044189,-0.126682
1.964008,4.801322,8.295133,0.132627,0.044189,0.126682
6.5866,6.858686,5.043521,-0.045915,-0.057257,0.254876
0.987419,4.240994,9.080875,0.045915,0.057257,-0.254876
6.411273,6.979367,3.626882,0.048223,0.036928,-0.103733
1.162747,4.120314,10.497514,-0.048223,-0.036928,0.103733
1.121506,7.547218,2.807259,-0.007781,0.008286,-0.085483
6.452513,3.552463,11.317137,0.007781,-0.008286,0.085483
6.632662,3.445771,12.71628,0.087166,0.0529,-0.093412
0.941357,7.65391,1.408116,-0.087166,-0.0529,0.093412
5.633376,2.607569,0.382961,-0.005486,0.004162,-0.001256
1.940643,8.492112,13.741435,0.005486,-0.004162,0.001256
4.840773,1.945228,2.622035,0.008931,0.003975,-0.018109
2.733246,9.154452,11.502361,-0.008931,-0.003975,0.018109
4.055198,1.305234,4.8763,-0.022139,-0.01262,0.056014
3.518821,9.794447,9.248096,0.022139,0.01262,-0.056014
3.038702,9.14962,6.642741,-0.037318,0.006862,0.02333
4.535317,1.950061,7.481655,0.037318,-0.006862,-0.02333
6.454004,2.681878,6.259783,0.014503,-0.023219,0.030395
1.120015,8.417803,7.864613,-0.014503,0.023219,-0.030395
6.050913,3.837101,4.107258,-0.015193,-0.016335,0.05614
1.523106,7.26258,10.017137,0.015193,0.016335,-0.05614
0.561596,4.469044,1.854532,0.004251,0.006684,-0.020049
7.012423,6.630636,12.269863,-0.004251,-0.006684,0.020049
5.439271,10.251237,13.102605,-0.022375,-0.00922,-0.009369
2.134749,0.848443,1.021791,0.022375,0.00922,0.009369
4.050192,6.224641,1.211633,-0.012404,-0.016279,0.07113
3.523827,4.87504,12.912762,0.012404,0.016279,-0.07113
3.25934,5.531306,3.443297,0.057278,0.057656,-0.207261
4.314679,5.568374,10.681099,-0.057278,-0.057656,0.207261
3.638857,5.343538,5.881183,-0.06412,-0.011583,-0.161882
3.935162,5.756143,8.243213,0.06412,0.011583,0.161882
5.764399,6.218295,6.911756,0.145544,0.075174,-0.062125
1.80962,4.881386,7.21264,-0.145544,-0.075174,0.062125
1.257966,7.224272,5.481744,0.081867,0.064781,-0.192692
6.316053,3.875408,8.642652,-0.081867,-0.064781,0.192692
2.051955,7.920628,3.254803,-0.035012,-0.025644,0.062898
5.522064,3.179053,10.869592,0.035012,0.025644,-0.062898
