X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.008376,-0.017344,-0.008909
2.87538,7.939936,13.90834,0.008376,0.017344,0.008909
3.719169,3.171409,1.224242,0.001656,0.002767,0.000504
3.85485,7.928272,12.900154,-0.001656,-0.002767,-0.000504
3.905538,2.495774,2.453079,0.00964,0.015465,0.004823
3.668481,8.603907,11.671317,-0.00964,-0.015465,-0.004823
2.935222,2.524374,3.455308,0.009306,0.012765,0.005349
4.638797,8.575307,10.669088,-0.009306,-0.012765,-0.005349
3.123484,1.861451,4.711497,-0.01034,-0.027556,-0.007854
4.450535,9.23823,9.412899,0.01034,0.027556,0.007854
2.157608,1.918712,5.685533,-0.010485,-0.019324,-0.006831
5.416411,9.180969,8.438863,0.010485,0.019324,0.006831
0.941986,2.639235,5.465655,0.009483,0.018092,0.009585
6.632033,8.460445,8.65874,-0.009483,-0.018092,-0.009585
0.716085,3.282691,4.275831,0.009666,0.024721,0.011518
6.857934,7.81699,9.848564,-0.009666,-0.024721,-0.011518
1.695335,3.253034,3.231222,-0.009436,-0.014658,-0.01045
5.878684,7.846646,10.893173,0.009436,0.014658,0.01045
1.495953,3.915837,2.020092,-0.008555,-0.012532,-0.009797
6.078067,7.183844,12.104303,0.008555,0.012532,0.009797
5.098186,7.196984,13.124433,-1.3e-05,0.00109,0.000193
2.475833,3.902697,0.999962,1.3e-05,-0.00109,-0.000193
6.371443,10.62244,13.549097,0.044829,-0.081462,-0.009251
1.202576,0.47724,0.575299,-0.044829,0.081462,0.009251
5.967171,7.163488,0.814803,0.001599,-0.000373,0.000807
1.606848,3.936193,13.309592,-0.001599,0.000373,-0.000807
4.983276,6.594891,1.657242,-0.038157,0.078172,0.008114
2.590743,4.504789,12.467153,0.038157,-0.078172,-0.008114
5.173897,6.492191,3.035826,-0.026699,0.054501,0.005845
2.400122,4.60749,11.088569,0.026699,-0.054501,-0.005845
4.187287,5.905941,3.892689,0.048721,-0.100341,-0.013051
3.386732,5.19374,10.231706,-0.048721,0.100341,0.013051
4.39932,5.810569,5.245598,0.055497,-0.106782,-0.014085
3.1747,5.289111,8.878798,-0.055497,0.106782,0.014085
5.610011,6.298359,5.829263,-0.048367,0.099222,0.016323
1.964008,4.801322,8.295133,0.048367,-0.099222,-0.016323
6.5866,6.858686,5.043521,-0.057827,0.115556,0.016306
0.987419,4.240994,9.080875,0.057827,-0.115556,-0.016306
6.411273,6.979367,3.626882,0.024518,-0.05108,-0.008996
1.162747,4.120314,10.497514,-0.024518,0.05108,0.008996
1.121506,7.547218,2.807259,0.051699,-0.0999,-0.014141
6.452513,3.552463,11.317137,-0.051699,0.0999,0.014141
6.632662,3.445771,12.71628,0.007379,-0.012052,-0.001672
0.941357,7.65391,1.408116,-0.007379,0.012052,0.001672
5.633376,2.607569,0.382961,0.021145,0.041645,0.020025
1.940643,8.492112,13.741435,-0.021145,-0.041645,-0.020025
4.840773,1.945228,2.622035,-0.02213,-0.04563,-0.024062
2.733246,9.154452,11.502361,0.02213,0.04563,0.024062
4.055198,1.305234,4.8763,0.026783,0.049486,0.023623
3.518821,9.794447,9.248096,-0.026783,-0.049486,-0.023623
3.038702,9.14962,6.642741,0.012062,0.032297,0.015459
4.535317,1.950061,7.481655,-0.012062,-0.032297,-0.015459
6.454004,2.681878,6.259783,-0.012343,-0.030652,-0.009701
1.120015,8.417803,7.864613,0.012343,0.030652,0.009701
6.050913,3.837101,4.107258,-0.025938,-0.048019,-0.020355
1.523106,7.26258,10.017137,0.025938,0.048019,0.020355
0.561596,4.469044,1.854532,0.023664,0.047229,0.019586
7.012423,6.630636,12.269863,-0.023664,-0.047229,-0.019586
5.439271,10.251237,13.102605,-0.097579,0.216351,0.028518
2.134749,0.848443,1.021791,0.097579,-0.216351,-0.028518
4.050192,6.224641,1.211633,0.100095,-0.217888,-0.030027
3.523827,4.87504,12.912762,-0.100095,0.217888,0.030027
3.25934,5.531306,3.443297,-0.1031,0.217716,0.031601
4.314679,5.568374,10.681099,0.1031,-0.217716,-0.031601
3.638857,5.343538,5.881183,-0.07053,0.147326,0.022589
3.935162,5.756143,8.243213,0.07053,-0.147326,-0.022589
5.764399,6.218295,6.911756,0.067054,-0.142333,-0.019539
1.80962,4.881386,7.21264,-0.067054,0.142333,0.019539
1.257966,7.224272,5.481744,0.113632,-0.253098,-0.034012
6.316053,3.875408,8.642652,-0.113632,0.253098,0.034012
2.051955,7.920628,3.254803,-0.115894,0.253077,0.032929
5.522064,3.179053,10.869592,0.115894,-0.253077,-0.032929
