X,Y,Z,Eigenvectors_(dx),Eigenvectors_(dy),Eigenvectors_(dz)
4.69864,3.159745,0.216056,-0.214271,0.128524,-0.038865
2.87538,7.939936,13.90834,0.214271,-0.128524,0.038865
3.719169,3.171409,1.224242,-0.112273,0.037933,-0.029879
3.85485,7.928272,12.900154,0.112273,-0.037933,0.029879
3.905538,2.495774,2.453079,-0.163117,0.116209,-0.050708
3.668481,8.603907,11.671317,0.163117,-0.116209,0.050708
2.935222,2.524374,3.455308,-0.070602,0.0133,-0.015575
4.638797,8.575307,10.669088,0.070602,-0.0133,0.015575
3.123484,1.861451,4.711497,-0.058786,0.043904,-0.040661
4.450535,9.23823,9.412899,0.058786,-0.043904,0.040661
2.157608,1.918712,5.685533,-0.010382,-0.015057,0.001815
5.416411,9.180969,8.438863,0.010382,0.015057,-0.001815
0.941986,2.639235,5.465655,0.002227,0.002386,0.009813
6.632033,8.460445,8.65874,-0.002227,-0.002386,-0.009813
0.716085,3.282691,4.275831,0.070928,-0.044216,-0.021039
6.857934,7.81699,9.848564,-0.070928,0.044216,0.021039
1.695335,3.253034,3.231222,0.073332,-0.004271,0.02842
5.878684,7.846646,10.893173,-0.073332,0.004271,-0.02842
1.495953,3.915837,2.020092,0.18031,-0.096999,0.007759
6.078067,7.183844,12.104303,-0.18031,0.096999,-0.007759
5.098186,7.196984,13.124433,-0.111401,0.042101,-0.026589
2.475833,3.902697,0.999962,0.111401,-0.042101,0.026589
6.371443,10.62244,13.549097,0.239051,0.097915,0.115897
1.202576,0.47724,0.575299,-0.239051,-0.097915,-0.115897
5.967171,7.163488,0.814803,0.122802,0.027074,0.050887
1.606848,3.936193,13.309592,-0.122802,-0.027074,-0.050887
4.983276,6.594891,1.657242,0.201327,0.085246,0.065816
2.590743,4.504789,12.467153,-0.201327,-0.085246,-0.065816
5.173897,6.492191,3.035826,0.074567,-0.00051,0.030673
2.400122,4.60749,11.088569,-0.074567,0.00051,-0.030673
4.187287,5.905941,3.892689,0.081665,0.046029,0.007277
3.386732,5.19374,10.231706,-0.081665,-0.046029,-0.007277
4.39932,5.810569,5.245598,0.000876,-0.008821,0.009081
3.1747,5.289111,8.878798,-0.000876,0.008821,-0.009081
5.610011,6.298359,5.829263,-0.010909,0.010472,0.009888
1.964008,4.801322,8.295133,0.010909,-0.010472,-0.009888
6.5866,6.858686,5.043521,-0.06225,-0.019604,-0.064217
0.987419,4.240994,9.080875,0.06225,0.019604,0.064217
6.411273,6.979367,3.626882,-0.074917,-0.007346,-0.02417
1.162747,4.120314,10.497514,0.074917,0.007346,0.02417
1.121506,7.547218,2.807259,-0.181437,-0.074249,-0.119287
6.452513,3.552463,11.317137,0.181437,0.074249,0.119287
6.632662,3.445771,12.71628,0.123132,0.022139,0.052553
0.941357,7.65391,1.408116,-0.123132,-0.022139,-0.052553
5.633376,2.607569,0.382961,-0.055661,0.054076,-0.004123
1.940643,8.492112,13.741435,0.055661,-0.054076,0.004123
4.840773,1.945228,2.622035,-0.038854,0.048747,-0.021982
2.733246,9.154452,11.502361,0.038854,-0.048747,0.021982
4.055198,1.305234,4.8763,0.000695,0.042063,-0.016802
3.518821,9.794447,9.248096,-0.000695,-0.042063,0.016802
3.038702,9.14962,6.642741,0.024007,0.008137,0.002072
4.535317,1.950061,7.481655,-0.024007,-0.008137,-0.002072
6.454004,2.681878,6.259783,-0.004647,0.026235,-0.004001
1.120015,8.417803,7.864613,0.004647,-0.026235,0.004001
6.050913,3.837101,4.107258,0.027845,-0.005835,-0.019551
1.523106,7.26258,10.017137,-0.027845,0.005835,0.019551
0.561596,4.469044,1.854532,0.046351,-0.04773,-0.02017
7.012423,6.630636,12.269863,-0.046351,0.04773,0.02017
5.439271,10.251237,13.102605,0.064231,0.043792,0.036779
2.134749,0.848443,1.021791,-0.064231,-0.043792,-0.036779
4.050192,6.224641,1.211633,0.055305,0.05045,0.00809
3.523827,4.87504,12.912762,-0.055305,-0.05045,-0.00809
3.25934,5.531306,3.443297,0.02885,0.021219,-0.01372
4.314679,5.568374,10.681099,-0.02885,-0.021219,0.01372
3.638857,5.343538,5.881183,-0.009847,-0.013117,-0.017806
3.935162,5.756143,8.243213,0.009847,0.013117,0.017806
5.764399,6.218295,6.911756,0.024573,-0.002206,-0.001856
1.80962,4.881386,7.21264,-0.024573,0.002206,0.001856
1.257966,7.224272,5.481744,-0.004163,-0.019245,-0.038133
6.316053,3.875408,8.642652,0.004163,0.019245,0.038133
2.051955,7.920628,3.254803,-0.043312,-0.030035,-0.051009
5.522064,3.179053,10.869592,0.043312,0.030035,0.051009
