 Eigenvectors after division by SQRT(mass)

 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =   92.668788 THz   582.255166 2PiTHz 3091.098034 cm-1   383.247139 meV
             X         Y         Z           dx          dy          dz
1.202576 0.477240 0.575299 -0.000200 -0.000078 -0.000088
5.967171 7.163488 0.814803 -0.000023 -0.000002 -0.000056
1.606848 3.936193 13.309592 0.000023 0.000002 0.000056
4.983276 6.594891 1.657242 0.000535 0.000223 0.000167
2.590743 4.504789 12.467153 -0.000535 -0.000223 -0.000167
5.173897 6.492191 3.035826 -0.000539 -0.000344 0.000740
2.400122 4.607490 11.088569 0.000539 0.000344 -0.000740
4.187287 5.905941 3.892689 0.016018 0.006168 0.009904
3.386732 5.193740 10.231706 -0.016018 -0.006168 -0.009904
4.399320 5.810569 5.245598 0.035328 0.021752 -0.030640
3.174700 5.289111 8.878798 -0.035328 -0.021752 0.030640
5.610011 6.298359 5.829263 -0.003555 0.001189 -0.020276
1.964008 4.801322 8.295133 0.003555 -0.001189 0.020276
6.586600 6.858686 5.043521 -0.007076 -0.002951 -0.002184
0.987419 4.240994 9.080875 0.007076 0.002951 0.002184
6.411273 6.979367 3.626882 -0.000100 -0.000095 0.000306
1.162747 4.120314 10.497514 0.000100 0.000095 -0.000306
1.121506 7.547218 2.807259 -0.000870 -0.000367 -0.000398
6.452513 3.552463 11.317137 0.000870 0.000367 0.000398
6.632662 3.445771 12.716280 -0.000028 -0.000010 -0.000012
0.941357 7.653910 1.408116 0.000028 0.000010 0.000012
5.633376 2.607569 0.382961 -0.001758 0.001022 -0.000321
1.940643 8.492112 13.741435 0.001758 -0.001022 0.000321
4.840773 1.945228 2.622035 -0.002995 0.001682 -0.000524
2.733246 9.154452 11.502361 0.002995 -0.001682 0.000524
4.055198 1.305234 4.876300 -0.009750 0.005532 -0.001721
3.518821 9.794447 9.248096 0.009750 -0.005532 0.001721
3.038702 9.149620 6.642741 -0.003668 0.011521 -0.021503
4.535317 1.950061 7.481655 0.003668 -0.011521 0.021503
6.454004 2.681878 6.259783 0.030658 -0.001752 -0.032144
1.120015 8.417803 7.864613 -0.030658 0.001752 0.032144
6.050913 3.837101 4.107258 0.021012 -0.012305 0.003800
1.523106 7.262580 10.017137 -0.021012 0.012305 -0.003800
0.561596 4.469044 1.854532 0.003683 -0.002159 0.000727
7.012423 6.630636 12.269863 -0.003683 0.002159 -0.000727
5.439271 10.251237 13.102605 -0.001920 -0.000770 -0.000880
2.134749 0.848443 1.021791 0.001920 0.000770 0.000880
4.050192 6.224641 1.211633 -0.005460 -0.002076 -0.003254
3.523827 4.875040 12.912762 0.005460 0.002076 0.003254
3.259340 5.531306 3.443297 -0.177554 -0.071885 -0.087431
4.314679 5.568374 10.681099 0.177554 0.071885 0.087431
3.638857 5.343538 5.881183 -0.411158 -0.250355 0.345218
3.935162 5.756143 8.243213 0.411158 0.250355 -0.345218
5.764399 6.218295 6.911756 0.031451 -0.016323 0.224154
1.809620 4.881386 7.212640 -0.031451 0.016323 -0.224154
1.257966 7.224272 5.481744 0.070689 0.028054 0.032347
6.316053 3.875408 8.642652 -0.070689 -0.028054 -0.032347
2.051955 7.920628 3.254803 0.009968 0.004056 0.004389
5.522064 3.179053 10.869592 -0.009968 -0.004056 -0.004389
 
   3 f  =   92.543819 THz   581.469964 2PiTHz 3086.929526 cm-1   382.730310 meV
             X         Y         Z           dx          dy          dz
4.698640 3.159745 0.216056 0.000005 0.000021 -0.000047
2.875380 7.939936 13.908340 0.000005 0.000021 -0.000047
3.719169 3.171409 1.224242 -0.000036 0.000002 0.000031
3.854850 7.928272 12.900154 -0.000036 0.000002 0.000031
3.905538 2.495774 2.453079 0.001111 -0.000650 0.000139
3.668481 8.603907 11.671317 0.001111 -0.000650 0.000139
2.935222 2.524374 3.455308 0.000130 0.000070 -0.000316
4.638797 8.575307 10.669088 0.000130 0.000070 -0.000316
3.123484 1.861451 4.711497 0.008227 -0.004419 0.000395
4.450535 9.238230 9.412899 0.008227 -0.004419 0.000395
2.157608 1.918712 5.685533 0.003635 -0.009955 0.018046
5.416411 9.180969 8.438863 0.003635 -0.009955 0.018046
0.941986 2.639235 5.465655 -0.033242 0.001204 0.036386
6.632033 8.460445 8.658740 -0.033242 0.001204 0.036386
0.716085 3.282691 4.275831 -0.021042 0.013418 -0.005827
6.857934 7.816990 9.848564 -0.021042 0.013418 -0.005827
1.695335 3.253034 3.231222 0.000620 0.000103 -0.000903
5.878684 7.846646 10.893173 0.000620 0.000103 -0.000903
1.495953 3.915837 2.020092 -0.000704 0.000399 -0.000079
6.078067 7.183844 12.104303 -0.000704 0.000399 -0.000079
5.098186 7.196984 13.124433 0.000018 -0.000049 0.000093
2.475833 3.902697 0.999962 0.000018 -0.000049 0.000093
6.371443 10.622440 13.549097 -0.000068 -0.000029 -0.000017
1.202576 0.477240 0.575299 -0.000068 -0.000029 -0.000017
5.967171 7.163488 0.814803 0.000012 0.000005 -0.000001
1.606848 3.936193 13.309592 0.000012 0.000005 -0.000001
4.983276 6.594891 1.657242 0.000129 0.000044 0.000098
2.590743 4.504789 12.467153 0.000129 0.000044 0.000098
5.173897 6.492191 3.035826 0.000056 0.000064 -0.000048
2.400122 4.607490 11.088569 0.000056 0.000064 -0.000048
4.187287 5.905941 3.892689 0.000135 0.000072 -0.000010
3.386732 5.193740 10.231706 0.000135 0.000072 -0.000010
4.399320 5.810569 5.245598 -0.000804 -0.000474 0.000824
3.174700 5.289111 8.878798 -0.000804 -0.000474 0.000824
5.610011 6.298359 5.829263 0.000078 0.000075 0.000042
1.964008 4.801322 8.295133 0.000078 0.000075 0.000042
6.586600 6.858686 5.043521 -0.001799 -0.000707 -0.000796
0.987419 4.240994 9.080875 -0.001799 -0.000707 -0.000796
6.411273 6.979367 3.626882 -0.000017 -0.000030 0.000015
1.162747 4.120314 10.497514 -0.000017 -0.000030 0.000015
1.121506 7.547218 2.807259 -0.000288 -0.000111 -0.000111
6.452513 3.552463 11.317137 -0.000288 -0.000111 -0.000111
6.632662 3.445771 12.716280 0.000012 0.000006 -0.000011
0.941357 7.653910 1.408116 0.000012 0.000006 -0.000011
5.633376 2.607569 0.382961 0.000098 -0.000089 0.000114
1.940643 8.492112 13.741435 0.000098 -0.000089 0.000114
4.840773 1.945228 2.622035 -0.013013 0.007502 -0.001908
2.733246 9.154452 11.502361 -0.013013 0.007502 -0.001908
4.055198 1.305234 4.876300 -0.084744 0.050559 -0.013784
3.518821 9.794447 9.248096 -0.084744 0.050559 -0.013784
3.038702 9.149620 6.642741 -0.035505 0.105151 -0.197551
4.535317 1.950061 7.481655 -0.035505 0.105151 -0.197551
6.454004 2.681878 6.259783 0.386481 -0.019928 -0.409079
1.120015 8.417803 7.864613 0.386481 -0.019928 -0.409079
6.050913 3.837101 4.107258 0.234869 -0.140933 0.043722
1.523106 7.262580 10.017137 0.234869 -0.140933 0.043722
0.561596 4.469044 1.854532 0.007477 -0.004803 0.002107
7.012423 6.630636 12.269863 0.007477 -0.004803 0.002107
5.439271 10.251237 13.102605 0.000722 0.000273 0.000304
2.134749 0.848443 1.021791 0.000722 0.000273 0.000304
4.050192 6.224641 1.211633 -0.001659 -0.000663 -0.000837
3.523827 4.875040 12.912762 -0.001659 -0.000663 -0.000837
3.259340 5.531306 3.443297 -0.002110 -0.000866 -0.000974
4.314679 5.568374 10.681099 -0.002110 -0.000866 -0.000974
3.638857 5.343538 5.881183 0.009793 0.005881 -0.008225
3.935162 5.756143 8.243213 0.009793 0.005881 -0.008225
5.764399 6.218295 6.911756 -0.000566 -0.000553 -0.001075
1.809620 4.881386 7.212640 -0.000566 -0.000553 -0.001075
1.257966 7.224272 5.481744 0.021272 0.008597 0.010382
6.316053 3.875408 8.642652 0.021272 0.008597 0.010382
2.051955 7.920628 3.254803 0.003239 0.001193 0.001414
5.522064 3.179053 10.869592 0.003239 0.001193 0.001414
 
   4 f  =   92.526866 THz   581.363444 2PiTHz 3086.364031 cm-1   382.660198 meV
             X         Y         Z           dx          dy          dz
4.698640 3.159745 0.216056 -0.000182 0.000105 -0.000029
