Eigenfrequency (cm-1),Eigenvector (dx),Eigenvector (dy),Eigenvector (dz),Eigenvector mag,A projection,abs A projection,B projection,abs B projection,C projection,abs C projection
0.65702,-0.886014,-6.2031480000000006,1.588904,6.464455672351294,-0.054225524266030174,0.054225524266030174,-0.850076253629764,0.850076253629764,0.11249359140375446,0.850076253629764
1.332932,2.35362,1.173172,5.902106,6.462190557217571,0.3398433121857332,0.3398433121857332,-0.02971924362381568,0.02971924362381568,0.4178660893204672,0.02971924362381568
3.458151,5.94457,-1.381532,-2.089004,6.45346846065753,0.9757138749830443,0.9757138749830443,-0.11430054475484983,0.11430054475484983,-0.14790041589473543,0.11430054475484983
32.046096,0.0,0.0,0.0,5.744193929600653,0.0,0.3993074698777278,0.0,0.6489839398812716,0.0,0.6489839398812716
37.923969,0.23436400000000002,-0.159994,-0.23756000000000002,6.424628959138068,0.040517075182099495,0.21755161423583635,-0.013371121607207553,0.4016055400752578,-0.016819126626829516,0.4016055400752578
50.510697,-0.02383999999999996,-0.13628399999999993,-0.08196199999999998,5.787282382477849,-0.001526004165253312,0.3070245300006549,-0.01508704741774694,0.5554937158334129,-0.005802867724314696,0.5554937158334129
54.89612,0.0,0.0,0.0,5.567519297820826,0.0,0.6854982418531381,0.0,0.17700317592429787,0.0,0.17700317592429787
66.884249,0.2640720000000001,-0.04113200000000001,-0.036782,6.438212196878334,0.04286881007611763,1.002666261093451,-0.004183518969526126,0.13501560485081754,-0.002604146807493024,0.13501560485081754
73.051373,0.0,0.0,0.0,5.865978390440546,0.0,0.8007535485559716,0.0,0.2907194693798787,0.0,0.2907194693798787
80.378451,0.0,0.0,0.0,5.342587133780287,0.0,0.25148705696608287,0.0,0.5523549605301414,0.0,0.5523549605301414
85.435534,0.08465199999999995,0.02862400000000004,0.024995999999999994,5.761563425351463,0.01300694786358802,0.44120495900985757,0.0029297870225655775,0.5736228949638303,0.0017697040291472863,0.5736228949638303
90.176552,0.0043179999999999955,0.0010780000000000234,-0.024025999999999992,6.228864806382775,0.0007478179932833887,0.10277465608320997,0.0008771180893272709,0.6974202313608127,-0.0017010285247356692,0.6974202313608127
116.102495,0.0,0.0,0.0,4.929766319431211,0.0,0.3537321523757921,0.0,0.527663587552966,0.0,0.527663587552966
120.705987,-0.06564199999999998,-0.01645200000000001,-0.03252399999999997,4.97313783770217,-0.010130457520095684,0.4745487632331687,-0.0011262991788910763,0.24913129189543123,-0.002302682582972733,0.24913129189543123
122.093253,0.0,0.0,0.0,5.36873772077428,0.0,0.3514054076769618,0.0,0.5503249434042822,0.0,0.5503249434042822
124.470777,0.007090000000000027,-0.03481999999999999,0.012376000000000005,5.2333615680959795,0.0016100895743754381,0.5420545682683786,-0.004877885271775027,0.44325686374113155,0.0008762144769053795,0.44325686374113155
125.603255,0.084254,-0.02857599999999999,0.015367999999999972,5.467843457699911,0.013822777948440204,0.48273566334121687,-0.004163217552395872,0.4163056456415162,0.0010880465482451377,0.4163056456415162
127.669911,0.0,0.0,0.0,4.657660436397402,0.0,0.26623169702028293,0.0,0.4613246391865596,0.0,0.4613246391865596
129.290752,0.0,0.0,0.0,5.393280063064867,0.0,0.3592824847524517,0.0,0.561568041126247,0.0,0.561568041126247
137.965841,0.011182000000000039,0.004265999999999965,0.025424000000000002,5.550299900303729,0.0016421449164027505,0.41774748178170235,-0.00022975221930432617,0.5012458667447524,0.001800006210475302,0.5012458667447524
176.891185,0.0,0.0,0.0,5.145766042389744,0.0,0.3653798104942858,0.0,0.5423344848504176,0.0,0.5423344848504176
179.902701,0.0,0.0,0.0,5.192587856602362,0.0,0.32983906778847005,0.0,0.5158288597095554,0.0,0.5158288597095554
192.141473,-0.004023999999999972,0.14762399999999995,0.05616600000000001,5.891170886249072,-0.0030090345040392017,0.38620709413703336,0.01734409735541229,0.610735094768837,0.003976524103900094,0.610735094768837
199.497368,-0.06360200000000002,0.007026000000000018,-0.023366,5.9375379814158356,-0.010182011941138524,0.39820996488649457,0.0016251693612959837,0.6188556357873871,-0.0016543008619401352,0.6188556357873871
237.153465,0.0,0.0,0.0,6.017876274664527,0.0,0.692646406954485,0.0,0.3068987701810151,0.0,0.3068987701810151
238.336868,0.0,0.0,0.0,6.021248242416618,0.0,0.7059229671107692,0.0,0.30006977784863625,0.0,0.30006977784863625
244.668388,0.00014799999999995372,-0.008695999999999926,-0.005306000000000019,4.885652349270622,0.00016925272024585422,0.3540871024557159,-0.0009603338583401844,0.5199338930662053,-0.00037566208908047447,0.5199338930662053
248.70677,-0.004568000000000003,-0.009238000000000024,-0.003132000000000036,4.877824073156103,-0.0005820921229108874,0.3024332620053088,-0.0010971119610535297,0.4873089434778974,-0.00022174399981154578,0.4873089434778974
262.34896,0.0,0.0,0.0,4.440612962753179,0.0,0.22713745665221743,0.0,0.2738884987562558,0.0,0.2738884987562558
263.000468,0.0,0.0,0.0,4.4391083016229205,0.0,0.22160830217400046,0.0,0.2778296935384749,0.0,0.2778296935384749
290.799423,0.0,0.0,0.0,5.116709473444418,0.0,0.3819576818063365,0.0,0.5505444066989429,0.0,0.5505444066989429
292.889627,0.0,0.0,0.0,5.131426142025397,0.0,0.3055836046623984,0.0,0.5062305758859,0.0,0.5062305758859
343.687367,0.0,0.0,0.0,4.0913394382763935,0.0,0.3164157341110399,0.0,0.4464764393769403,0.0,0.4464764393769403
345.821325,0.0,0.0,0.0,4.079845445924529,0.0,0.2348324424138005,0.0,0.3944738232151397,0.0,0.3944738232151397
