Eigenfrequency (cm-1),Eigenvector (dx),Eigenvector (dy),Eigenvector (dz),Eigenvector mag,A projection,abs A projection,B projection,abs B projection,C projection,abs C projection
0.613393,5.883596,2.42706,-1.130032,6.464151394433926,0.9064441315602751,0.9064441315602751,0.3482152584954794,0.3482152584954794,-0.08000568824873464,0.3482152584954794
0.97129,-0.205492,3.131316,5.652258,6.465312152738528,-0.09687020590153628,0.09687020590153628,0.23089315701235363,0.23089315701235363,0.40017697857177176,0.23089315701235363
1.656742,-2.667224,5.1067,-2.924684,6.463076796145839,-0.49240514620234604,0.49240514620234604,0.7494683645001862,0.7494683645001862,-0.20706613293257378,0.7494683645001862
32.772255,0.0,0.0,0.0,5.765592164577843,0.0,0.4242640356018577,0.0,0.6462098345013189,0.0,0.6462098345013189
36.778142,0.10424199999999999,-0.12492999999999999,0.06085799999999994,6.452086570169785,0.018302075828594173,0.2704058998440987,-0.018006605278689053,0.3958746841466059,0.004308715306682906,0.3958746841466059
53.81256,0.014547999999999991,0.12688600000000005,0.0011540000000000092,5.614087238953313,0.00043391596910478253,0.31194414966840023,0.016354798565886293,0.5786027255770737,8.170261040310383e-05,0.5786027255770737
56.192915,0.0,0.0,0.0,5.660297899093697,0.0,0.6863877286647773,0.0,0.1978071327245311,0.0,0.1978071327245311
67.785981,0.031739999999999935,-0.052374000000000004,0.086952,6.442667254928462,0.005572793815164741,0.9902671283061658,-0.009435713059156369,0.1361796754322532,0.006156157174844584,0.1361796754322532
73.063218,0.0,0.0,0.0,5.869741378300745,0.0,0.8141116745154003,0.0,0.23184388514415974,0.0,0.23184388514415974
85.312465,0.0,0.0,0.0,5.13117900060697,0.0,0.20353316141657957,0.0,0.5548463239088132,0.0,0.5548463239088132
90.071832,0.09567599999999998,-0.05551199999999998,0.018459999999999983,5.385597764040792,0.016036010955803866,0.4562761997111878,-0.007737579566731045,0.504393989258395,0.0013069585684933166,0.504393989258395
97.338332,0.030794000000000002,-0.0022380000000000178,0.029029999999999993,6.4626078921661065,0.004857422402059602,0.1316807913445533,-0.0011806380507094622,0.7395626937907241,0.002055309168112732,0.7395626937907241
118.275247,0.0,0.0,0.0,5.022245972481281,0.0,0.35211694585749853,0.0,0.5417679691622903,0.0,0.5417679691622903
122.089317,-0.07662199999999994,-0.026195999999999928,-0.033496,5.097044172681309,-0.011735052637475759,0.48788032705264417,-0.002355109058152848,0.274131604619705,-0.0023714996863625232,0.274131604619705
123.595535,0.0,0.0,0.0,5.3869687278009355,0.0,0.3574660226955986,0.0,0.5498365363550359,0.0,0.5498365363550359
124.575433,0.02997000000000006,-0.05055800000000001,-0.005875999999999996,5.178251443575818,0.0055520036722022225,0.6117192165990559,-0.006350266606471636,0.3700508679649872,-0.00041601779785843587,0.3700508679649872
127.010567,0.06405199999999997,-0.002834000000000031,0.018633999999999967,5.4104147005990315,0.01020629214613851,0.41289438642143955,-0.000938350477331866,0.47103971660444005,0.0013192776795939532,0.47103971660444005
130.799802,0.0,0.0,0.0,4.88377727658504,0.0,0.27895731799183543,0.0,0.4942703950833044,0.0,0.4942703950833044
134.543036,0.0,0.0,0.0,5.422622192739998,0.0,0.3436284860805619,0.0,0.5580348365204444,0.0,0.5580348365204444
140.649494,0.020437999999999984,-0.001380000000000001,0.0035660000000000275,5.515307659517253,0.0032711340175887067,0.3980026870938232,-0.00028777516470396215,0.5137847246004735,0.0002524709780740617,0.5137847246004735
178.084669,0.0,0.0,0.0,5.258175395168135,0.0,0.36423504469987816,0.0,0.5508504072383301,0.0,0.5508504072383301
182.431699,0.0,0.0,0.0,5.320841837736119,0.0,0.34302980640898245,0.0,0.5370010684878506,0.0,0.5370010684878506
194.337874,-0.010125999999999982,0.14339200000000005,0.04202799999999998,5.8964796506475645,-0.0038760542287492906,0.39267720563807146,0.017231633746156126,0.6159704211505966,0.0029755609272284506,0.6159704211505966
202.43259,-0.06567,-0.0019000000000000128,-0.016655999999999973,5.930024380997541,-0.010400362847392028,0.39037409499986714,0.0002660987670928972,0.6148299941517192,-0.0011792362901855181,0.6148299941517192
238.768102,0.0,0.0,0.0,6.067242677599495,0.0,0.7024975934562518,0.0,0.31463443304634175,0.0,0.31463443304634175
239.796936,0.0,0.0,0.0,6.071592126037835,0.0,0.7060932347825131,0.0,0.29140476259006753,0.0,0.29140476259006753
246.850236,0.0027159999999999684,-0.007759999999999934,-0.00743600000000004,5.031304675992537,0.0005718074951775905,0.35529493435516574,-0.0007740129089783346,0.5320678757637934,-0.0005264650008297055,0.5320678757637934
250.725828,-0.0028719999999999857,-0.012572000000000083,-0.009875999999999972,5.024865041725615,-0.00024094493895938755,0.31660319622909305,-0.0013206575951367865,0.5083203494185443,-0.0006992157541950148,0.5083203494185443
262.646853,0.0,0.0,0.0,4.344034210613767,0.0,0.21900102554543444,0.0,0.26218760331363294,0.0,0.26218760331363294
263.331141,0.0,0.0,0.0,4.35214763852808,0.0,0.22922633113403887,0.0,0.2725611635457778,0.0,0.2725611635457778
293.157201,0.0,0.0,0.0,5.128254061179236,0.0,0.38048860016932157,0.0,0.5535090151502735,0.0,0.5535090151502735
295.686584,0.0,0.0,0.0,5.1388811274499275,0.0,0.3049185209593673,0.0,0.5090243754406721,0.0,0.5090243754406721
345.520765,0.0,0.0,0.0,4.184747945099435,0.0,0.31900722134178766,0.0,0.45593333038517775,0.0,0.45593333038517775
347.537931,0.0,0.0,0.0,4.168832541566784,0.0,0.2413057162584833,0.0,0.40620694145534725,0.0,0.40620694145534725
