Eigenfrequency (cm-1),Eigenvector (dx),Eigenvector (dy),Eigenvector (dz),Eigenvector mag,A projection,abs A projection,B projection,abs B projection,C projection,abs C projection
36.778142,0.104242,-0.12493,0.060858,6.45208657,0.01830207583,0.2704058998,-0.01800660528,0.3958746841,0.004308715307,0.3958746841
67.785981,0.03174,-0.052374,0.086952,6.442667255,0.005572793815,0.9902671283,-0.009435713059,0.1361796754,0.006156157175,0.1361796754
97.338332,0.030794,-0.002238,0.02903,6.462607892,0.004857422402,0.1316807913,-0.001180638051,0.7395626938,0.002055309168,0.7395626938
178.084669,0,0,0,5.258175395,0,0.3642350447,0,0.5508504072,0,0.5508504072
182.431699,0,0,0,5.320841838,0,0.3430298064,0,0.5370010685,0,0.5370010685
